outcome,comparison,n_users,median_diff,ci_lo,ci_hi,p_holm,rank_biserial,significant
ania,moving_average - threshold,8,-0.75,-3.0,1.0,0.9375,-0.5714285714285714,False
ania,ewma - threshold,8,-0.25,-2.0,0.5,0.9375,-0.4285714285714285,False
ania,majority_vote - threshold,8,-0.75,-2.5,1.0,0.9375,-0.5555555555555556,False
ania,debounce - threshold,8,-0.75,-3.0,1.0,0.9375,-0.5555555555555556,False
ania,margin - threshold,8,-1.0,-1.5,0.0,0.25,-1.0,False
ania,hysteresis - threshold,8,-1.0,-3.0,1.0,0.84375,-0.6111111111111112,False
ania,trust - threshold,8,0.0,-3.5,2.0,0.9375,-0.1666666666666666,False
ania,sprt - threshold,8,-1.75,-4.0,-0.5,0.25,-1.0,False
first_lock,moving_average - threshold,8,1.0,0.0,1.0,1.0,0.5,False
first_lock,ewma - threshold,8,1.0,0.0,1.5,0.75,0.7857142857142857,False
first_lock,majority_vote - threshold,8,1.0,0.0,1.0,1.0,0.5357142857142857,False
first_lock,debounce - threshold,8,1.0,0.0,1.0,1.0,0.5357142857142857,False
first_lock,margin - threshold,8,0.0,0.0,0.0,1.0,0.0,False
first_lock,hysteresis - threshold,8,1.0,-1.0,1.0,1.0,0.3333333333333333,False
first_lock,trust - threshold,8,2.0,-0.5,2.0,1.0,0.5,False
first_lock,sprt - threshold,8,0.0,-1.0,0.5,1.0,-0.4,False
recovery,moving_average - threshold,8,0.0,0.0,0.0,1.0,0.0,False
recovery,ewma - threshold,8,0.0,0.0,0.0,1.0,0.0,False
recovery,majority_vote - threshold,8,1.0,1.0,1.0,0.09375,1.0,False
recovery,debounce - threshold,8,1.0,1.0,1.0,0.09375,1.0,False
recovery,margin - threshold,8,0.0,0.0,0.0,1.0,0.0,False
recovery,hysteresis - threshold,8,1.0,1.0,1.0,0.0625,1.0,False
recovery,trust - threshold,8,1.0,1.0,2.5,0.0625,1.0,False
recovery,sprt - threshold,8,1.0,0.0,3.0,0.25,1.0,False
miss_rate,moving_average - threshold,8,-0.09375,-0.25,0.0,0.25,-1.0,False
miss_rate,ewma - threshold,8,-0.125,-0.25,0.0,0.25,-1.0,False
miss_rate,majority_vote - threshold,8,-0.15625,-0.25,0.0,0.25,-1.0,False
miss_rate,debounce - threshold,8,-0.15625,-0.3125,0.0,0.25,-1.0,False
miss_rate,margin - threshold,8,-0.0625,-0.1875,0.0,0.25,-1.0,False
miss_rate,hysteresis - threshold,8,-0.1875,-0.375,0.0,0.25,-1.0,False
miss_rate,trust - threshold,8,-0.1875,-0.375,0.0,0.25,-1.0,False
miss_rate,sprt - threshold,8,-0.1875,-0.375,0.0,0.25,-1.0,False
far_frame,moving_average - threshold,8,-0.0234374999999999,-0.0385416666666666,0.0197916666666667,0.765625,-0.3888888888888889,False
far_frame,ewma - threshold,8,0.0005208333333333,-0.0333333333333334,0.0197916666666667,1.0,0.0,False
far_frame,majority_vote - threshold,8,-0.0552083333333333,-0.0864583333333334,-0.0041666666666666,0.2734375,-0.7777777777777778,False
far_frame,debounce - threshold,8,-0.0848958333333333,-0.165625,-0.0114583333333332,0.2734375,-0.7777777777777778,False
far_frame,margin - threshold,8,-0.0916666666666667,-0.1541666666666666,-0.0697916666666667,0.0625,-1.0,False
far_frame,hysteresis - threshold,8,-0.1973958333333333,-0.340625,-0.0302083333333333,0.140625,-0.8888888888888888,False
far_frame,trust - threshold,8,-0.1369791666666666,-0.225,0.0333333333333333,0.5859375,-0.5555555555555556,False
far_frame,sprt - threshold,8,-0.2760416666666667,-0.4510416666666667,-0.1083333333333332,0.109375,-0.9444444444444444,False
frr_time,moving_average - threshold,8,0.0034130742266773,0.0,0.0196913251729644,0.25,1.0,False
frr_time,ewma - threshold,8,0.0059933788409896,0.0,0.0255455029270888,0.25,1.0,False
frr_time,majority_vote - threshold,8,0.0082661992907365,0.0,0.0324640766365088,0.15625,1.0,False
frr_time,debounce - threshold,8,0.0091551309697714,0.0,0.0420436402341672,0.25,1.0,False
frr_time,margin - threshold,8,0.0068261484533546,0.0,0.0377860564129857,0.25,1.0,False
frr_time,hysteresis - threshold,8,0.0264818636430387,0.0017241379310344,0.1032464076636509,0.109375,1.0,False
frr_time,trust - threshold,8,0.0335420697145572,0.0011494252873563,0.1298563065460352,0.109375,1.0,False
frr_time,sprt - threshold,8,0.0444201201506974,0.0045977011494252,0.1633847791378393,0.0625,1.0,False
false_locks_per_hour,moving_average - threshold,8,0.0,-0.3278688524590164,0.186335403726708,1.0,-0.2,False
false_locks_per_hour,ewma - threshold,8,0.0,0.0,0.2484472049689441,1.0,0.4,False
false_locks_per_hour,majority_vote - threshold,8,0.0187852222917971,-0.3278688524590164,0.099009900990099,1.0,-0.0476190476190476,False
false_locks_per_hour,debounce - threshold,8,0.0,-0.3278688524590164,0.0638637573177222,1.0,-0.4666666666666667,False
false_locks_per_hour,margin - threshold,8,0.0,-0.3278688524590164,0.0,1.0,-1.0,False
false_locks_per_hour,hysteresis - threshold,8,0.0172413793103448,-0.3278688524590164,0.0957956359765833,1.0,-0.0476190476190476,False
false_locks_per_hour,trust - threshold,8,0.0172413793103448,-0.3747072599531616,0.124223602484472,1.0,-0.0476190476190476,False
false_locks_per_hour,sprt - threshold,8,0.050802298065543,-0.3278688524590164,0.124223602484472,1.0,0.0714285714285714,False
transitions_per_hour,moving_average - threshold,8,0.0,-0.6557377049180328,0.351250665247472,1.0,-0.2,False
transitions_per_hour,ewma - threshold,8,0.0,0.0,0.4968944099378882,1.0,0.4,False
transitions_per_hour,majority_vote - threshold,8,0.0375704445835942,-0.6557377049180328,0.198019801980198,1.0,-0.0476190476190476,False
transitions_per_hour,debounce - threshold,8,0.0,-0.6557377049180328,0.124223602484472,1.0,-0.4666666666666667,False
transitions_per_hour,margin - threshold,8,0.0,-0.6557377049180328,0.0,1.0,-1.0,False
transitions_per_hour,hysteresis - threshold,8,0.0187852222917971,-0.6557377049180328,0.1915912719531665,1.0,-0.0476190476190476,False
transitions_per_hour,trust - threshold,8,0.0344827586206896,-0.7494145199063232,0.248447204968944,1.0,-0.0476190476190476,False
transitions_per_hour,sprt - threshold,8,0.0828193738392891,-0.6557377049180328,0.248447204968944,1.0,0.0714285714285714,False
pingpong_per_hour,moving_average - threshold,8,0.0,-0.5620608899297425,0.2484472049689441,1.0,-0.0666666666666666,False
