uuid,n_frames,median_gap_s,frac_gap_59_61,n_runs,run_len_frames_median,regular_cadence,frames_train,frames_val,frames_test,frames_embargo,stream_frames_val,n_streams_val,max_stream_val,stream_frames_test,n_streams_test,max_stream_test,proc_gyro__all_missing,raw_acc__all_missing,exclusion_reason,eligible
00EABED2-271D-49D8-B599-1D4A09240601,2287,60.0,0.9002624671916011,41,1.0,True,1372,428,429,58,428,1,428,408,3,300,0.0,0.0,,True
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,6813,60.0,0.9751908396946565,16,276.0,True,4087,1334,1334,58,1330,8,459,1334,5,733,0.0007338910905621606,0.0007338910905621606,,True
0A986513-7828-4D53-AA1F-E02D6DF9561B,3960,60.0,0.9952008082849204,5,710.0,True,2376,763,763,58,763,1,763,763,1,763,0.0,0.0,,True
0BFC35E2-4817-4865-BFA7-764742302A2D,3108,61.0,0.26939169616993885,203,4.0,False,1864,602,617,25,434,8,173,556,8,165,0.005791505791505791,0.005791505791505791,,True
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,7521,61.0,0.3702127659574468,498,5.0,False,4512,1480,1481,48,1075,44,78,1279,33,394,0.0011966493817311527,0.0010636883393165802,,True
1155FF54-63D3-4AB2-9863-8385D0BD0A13,2685,300.0,0.030923994038748136,41,14.0,False,1611,532,509,33,168,2,97,167,3,68,0.0,0.0,val stream frames 168 < 300; test stream frames 167 < 300,False
11B5EC4D-4133-4289-B475-4E737182A406,8845,60.0,0.9479873360470376,5,1098.0,True,5307,1739,1740,59,1739,3,799,1740,2,1407,0.0,0.0,,True
136562B6-95B2-483D-88DC-065F28409FD2,6218,60.0,0.9806980858935178,21,258.0,True,3730,1215,1215,58,1215,4,847,1215,3,747,0.0,0.0,,True
1538C99F-BA1E-4EFB-A949-6C7C47701B20,6549,60.0,0.9920586438607208,28,5.5,True,3929,1281,1281,58,1281,4,748,1281,2,875,0.0,0.0,,True
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,7375,60.0,0.27407106048277735,173,16.0,False,4425,1445,1446,59,1430,20,296,1423,11,343,0.0005423728813559322,0.0005423728813559322,,True
24E40C4C-A349-4F9F-93AB-01D00FB994AF,4771,60.0,0.9742138364779874,19,198.0,True,2862,925,926,58,925,5,317,926,5,374,0.00020959966464053657,0.0,,True
27E04243-B138-4F40-A164-F40B60165CF3,4927,60.0,0.29455948030856677,90,9.5,False,2956,956,958,57,906,10,293,947,8,356,0.01968743657398011,0.00040592652729855896,,True
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,8516,60.0,0.9869641808573106,9,784.0,True,5109,1674,1675,58,1674,1,1674,1675,2,1298,0.0,0.0,,True
33A85C34-CFE4-4732-9E73-0A7AC861B27A,6172,60.0,0.5209852536055745,326,6.0,False,3703,1216,1206,47,1000,34,172,1065,22,181,0.0012961762799740765,0.0012961762799740765,,True
3600D531-0C55-44A7-AE95-A7A38519464E,5203,60.0,0.9867358708189158,32,22.5,True,3121,1018,1035,29,1017,4,842,1032,5,612,0.0,0.0,,True
40E170A7-607B-4578-AF04-F021C3B0384A,7649,60.0,0.3040010460251046,92,28.0,False,4589,1501,1501,58,1447,20,261,1490,10,430,0.00013073604392731077,0.00013073604392731077,,True
481F4DD2-7689-43B9-A2AA-C8772227162B,6691,60.0,0.45605381165919284,222,10.0,False,4014,1309,1309,59,1214,39,255,1280,16,263,0.00014945449110745777,0.00014945449110745777,,True
4E98F91F-4654-42EF-B908-A3389443F2E7,3250,61.0,0.34749153585718684,325,2.0,False,1950,623,646,31,480,17,84,326,15,74,0.0018461538461538461,0.0018461538461538461,,True
4FC32141-E888-4BFF-8804-12559A491D8C,4979,60.0,0.9837284049819205,12,174.5,True,2987,967,967,58,958,6,427,967,4,677,0.0,0.0,,True
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,6617,60.0,0.9906287787182587,10,387.5,True,3970,1294,1295,58,1294,1,1294,1295,3,709,0.0,0.0,,True
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,6617,60.0,0.9898730350665055,8,718.5,True,3970,1294,1295,58,1294,2,697,1295,3,775,0.0,0.0,,True
59818CD2-24D7-4D32-B133-24C2FE3801E5,5947,61.0,0.33938782374705684,53,39.0,False,3568,1168,1160,51,1159,8,456,1151,8,598,0.00016815200941651252,0.00016815200941651252,,True
59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2,7542,61.0,0.16509746717941917,437,5.0,False,4525,1482,1480,55,1428,23,348,1271,38,195,0.0007955449482895784,0.0006629541235746487,,True
5EF64122-B513-46AE-BCF1-E62AAC285D2C,3911,60.0,0.972378516624041,10,313.5,True,2346,753,754,58,753,2,637,754,2,576,0.0,0.0,,True
61359772-D8D8-480D-B623-7C636EAD0C81,6079,60.0,0.5258308654162553,94,10.5,False,3647,1187,1186,59,1141,9,304,1168,7,485,1.0,0.001151505181773318,,True
61976C24-1C50-4355-9C49-AAE44A7D09F6,8730,60.0,0.977431550005728,45,16.0,True,5238,1717,1717,58,1717,1,1717,1717,1,1717,0.0,0.0,,True
665514DE-49DC-421F-8DCB-145D0B2609AD,9167,60.0,0.339515601134628,167,24.0,False,5500,1803,1804,60,1763,36,258,1724,34,253,0.00032726082687902256,0.00010908694229300753,,True
74B86067-5D4B-43CF-82CF-341B76BEA0F4,7298,60.0,0.4740304234616966,119,28.0,False,4378,1433,1431,56,1409,23,330,1416,16,411,0.004247739106604549,0.004247739106604549,,True
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,11996,60.0,0.9917465610671113,5,2312.0,True,7197,2370,2371,58,2370,2,1773,2371,1,2371,0.0,0.0,,True
797D145F-3858-4A7F-A7C2-A4EB721E133C,3593,61.0,0.45601336302895323,35,68.0,False,2155,692,689,57,679,9,390,684,5,320,0.0,0.0,,True
7CE37510-56D0-4120-A1CF-0E23351428D2,9761,60.0,0.9878073770491803,5,371.0,True,5856,1923,1924,58,1923,1,1923,1924,1,1924,0.00020489703923778303,0.00010244851961889151,,True
7D9BB102-A612-4E2A-8E22-3159752F55D8,1600,60.0,0.9618511569731082,35,24.0,True,960,291,290,59,291,3,197,286,5,94,0.0,0.0,val stream frames 291 < 300; test stream frames 286 < 300,False
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,9189,60.0,0.9614714845450588,24,134.5,True,5513,1808,1809,59,1808,2,972,1809,2,1064,0.0,0.0,,True
806289BC-AD52-4CC1-806C-0CDB14D65EB6,9242,61.0,0.2477004653176063,74,60.0,False,5545,1824,1820,53,1809,14,459,1808,17,463,0.0,0.0,,True
81536B0A-8DBF-4D8A-AC24-9543E2E4C8E0,6407,62.0,0.2450827349359975,650,5.0,False,3844,1258,1267,38,803,39,81,523,25,62,0.010145153738098954,0.00998907444982051,,True
83CF687B-7CEC-434B-9FE8-00C3D5799BE6,9539,60.0,0.9951771859928706,7,734.0,True,5723,1879,1879,58,1879,1,1879,1879,2,1394,0.0,0.0,,True
86A4F379-B305-473D-9D83-FC7D800180EF,10738,63.0,0.1392381484586011,701,7.0,False,6442,2117,2126,53,1619,58,110,1804,53,241,0.0020487986589681506,0.0020487986589681506,,True
96A358A0-FFF2-4239-B93E-C7425B901B47,5819,60.0,0.31041595049845305,99,26.0,False,3491,1137,1135,56,1110,12,250,1132,10,664,0.055507819212923186,0.001374806667812339,,True
9759096F-1119-4E19-A0AD-6F16989C7E1C,9959,60.0,0.9942759590279172,5,1178.0,True,5975,1963,1963,58,1963,2,1489,1954,2,1178,0.0,0.0,,True
99B204C0-DD5C-4BB7-83E8-A37281B8D769,6038,61.0,0.24995858870299817,193,10.0,False,3622,1178,1178,60,1012,29,124,996,31,206,0.00182179529645578,0.0016561775422325273,,True
9DC38D04-E82E-4F29-AB52-B476535226F2,9686,60.0,0.9822405782137326,17,5.0,True,5811,1908,1909,58,1902,2,1543,1909,1,1909,0.0,0.0,,True
A5A30F76-581E-4757-97A2-957553A2C6AA,1667,64.0,0.20468187274909963,202,2.0,False,1000,330,333,4,211,8,73,116,4,50,0.0,0.0,val stream frames 211 < 300; test stream frames 116 < 300,False
A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,6040,60.0,0.9839377380360987,15,359.0,True,3624,1179,1179,58,1179,3,841,1179,3,470,0.0,0.0,,True
A7599A50-24AE-46A6-8EA6-2576F1011D81,3898,60.0,0.5660764690787785,26,71.0,False,2338,750,752,58,721,8,358,752,4,544,0.0,0.0,,True
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,7520,60.0,0.9944141508179279,2,3760.0,True,4512,1475,1475,58,1475,1,1475,1475,2,920,0.0,0.0,,True
B09E373F-8A54-44C8-895B-0039390B859F,8134,60.0,0.9824173121849256,11,284.0,True,4880,1598,1598,58,1598,1,1598,1597,3,833,0.0,0.0,,True
B7F9D634-263E-4A97-87F9-6FFB4DDCB36C,9383,60.0,0.49584310381581753,300,15.0,False,5629,1851,1854,49,1768,39,205,1737,39,259,0.0,0.0,,True
B9724848-C7E2-45F4-9B3F-A1F38D864495,7626,60.0,0.9880655737704918,13,540.0,True,4575,1496,1497,58,1487,3,880,1497,2,1013,0.0,0.0,,True
BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,8309,60.0,0.9776119402985075,16,453.0,True,4985,1632,1633,59,1632,4,681,1633,2,1410,0.0,0.0,,True
BEF6C611-50DA-4971-A040-87FB979F3FC1,3451,60.0,0.2982608695652174,165,5.0,False,2070,661,662,58,535,9,177,617,14,185,0.0002897710808461316,0.0002897710808461316,,True
C48CE857-A0DD-4DDB-BEA5-3A25449B2153,5092,60.0,0.9414653309762325,56,9.0,True,3055,989,990,58,977,6,282,937,6,307,0.00019638648860958367,0.00019638648860958367,,True
CA820D43-E5E2-42EF-9798-BE56F776370B,7865,60.0,0.9881739572736521,9,546.0,True,4719,1544,1544,58,1540,2,1146,1543,2,997,0.00012714558169103624,0.00012714558169103624,,True
CCAF77F0-FABB-4F2F-9E24-D56AD0C5A82F,8472,60.0,0.29311769566757173,264,17.0,False,5083,1672,1665,52,1630,52,559,1586,18,361,1.0,0.00908876298394712,,True
CDA3BBF7-6631-45E8-85BA-EEB416B32A3C,2860,60.0,0.9926547743966422,3,882.0,True,1716,543,543,58,543,2,316,537,1,537,0.0,0.0,,True
