mechanism,condition,L_frames,n,ania_median,miss_rate,far_frame_mean,recovery_median
threshold,M,3,224,0.0,0.35714285714285715,0.3273809523809524,0.0
threshold,M,10,224,0.0,0.20982142857142858,0.30491071428571426,0.0
threshold,M,30,224,0.0,0.16964285714285715,0.3238095238095238,0.0
threshold,M,60,224,0.0,0.15178571428571427,0.35066964285714286,0.0
threshold,X,3,224,0.0,0.29017857142857145,0.3095238095238095,0.0
threshold,X,10,224,0.0,0.22767857142857142,0.2799107142857143,0.0
threshold,X,30,224,0.0,0.19642857142857142,0.31354166666666666,0.0
threshold,X,60,224,0.0,0.15178571428571427,0.28995535714285714,0.0
moving_average,M,3,224,1.0,0.27232142857142855,0.4970238095238095,0.0
moving_average,M,10,224,1.0,0.14285714285714285,0.30758928571428573,0.0
moving_average,M,30,224,1.0,0.11160714285714286,0.29300595238095234,0.0
moving_average,M,60,224,1.0,0.07142857142857142,0.2915922619047619,0.0
moving_average,X,3,224,1.0,0.22767857142857142,0.47023809523809523,0.0
moving_average,X,10,224,1.0,0.18303571428571427,0.2982142857142857,0.0
moving_average,X,30,224,1.0,0.12946428571428573,0.2772321428571428,0.0
moving_average,X,60,224,1.0,0.08928571428571429,0.22983630952380948,0.0
ewma,M,3,224,1.0,0.27232142857142855,0.5238095238095238,0.0
ewma,M,10,224,1.0,0.14732142857142858,0.30624999999999997,0.0
ewma,M,30,224,1.0,0.11607142857142858,0.2876488095238095,0.0
ewma,M,60,224,1.0,0.07142857142857142,0.28087797619047616,0.0
ewma,X,3,224,1.0,0.25,0.5059523809523809,0.0
ewma,X,10,224,1.0,0.17857142857142858,0.29866071428571433,0.0
ewma,X,30,224,1.0,0.13839285714285715,0.2699404761904762,0.0
ewma,X,60,224,1.0,0.09375,0.22269345238095234,0.0
majority_vote,M,3,224,1.0,0.17857142857142858,0.45535714285714285,1.0
majority_vote,M,10,224,1.0,0.10267857142857142,0.25357142857142856,1.0
majority_vote,M,30,224,1.0,0.08928571428571429,0.24315476190476187,1.0
majority_vote,M,60,224,1.0,0.04017857142857143,0.22879464285714282,1.0
majority_vote,X,3,224,1.0,0.1875,0.4613095238095238,1.0
majority_vote,X,10,224,1.0,0.125,0.25669642857142855,1.0
majority_vote,X,30,224,1.0,0.08928571428571429,0.23035714285714284,1.0
majority_vote,X,60,224,1.0,0.07142857142857142,0.19166666666666662,1.0
debounce,M,3,224,1.0,0.20089285714285715,0.4642857142857143,1.0
debounce,M,10,224,1.0,0.08928571428571429,0.23750000000000002,1.0
debounce,M,30,224,1.0,0.08928571428571429,0.22425595238095236,1.0
debounce,M,60,224,1.0,0.022321428571428572,0.20982142857142855,1.0
debounce,X,3,224,1.0,0.20089285714285715,0.4613095238095238,1.0
debounce,X,10,224,1.0,0.11607142857142858,0.24464285714285716,1.0
debounce,X,30,224,1.0,0.08035714285714286,0.2169642857142857,1.0
debounce,X,60,224,1.0,0.06696428571428571,0.17730654761904757,1.0
margin,M,3,224,0.0,0.27232142857142855,0.2767857142857143,0.0
margin,M,10,224,0.0,0.14285714285714285,0.21830357142857143,0.0
margin,M,30,224,0.0,0.10714285714285714,0.2294642857142857,0.0
margin,M,60,224,0.0,0.08482142857142858,0.2444940476190476,0.0
margin,X,3,224,0.0,0.24107142857142858,0.2708333333333333,0.0
margin,X,10,224,0.0,0.16517857142857142,0.21696428571428572,0.0
margin,X,30,224,0.0,0.12053571428571429,0.2150297619047619,0.0
margin,X,60,224,0.0,0.08928571428571429,0.19933035714285713,0.0
hysteresis,M,3,224,1.0,0.14285714285714285,0.4211309523809524,1.0
hysteresis,M,10,224,1.0,0.05357142857142857,0.17633928571428573,1.0
hysteresis,M,30,224,1.0,0.05357142857142857,0.15044642857142856,1.0
hysteresis,M,60,224,1.0,0.013392857142857142,0.12648809523809518,1.0
hysteresis,X,3,224,1.0,0.14285714285714285,0.41964285714285715,1.0
hysteresis,X,10,224,1.0,0.0625,0.1875,1.0
hysteresis,X,30,224,1.0,0.044642857142857144,0.1458333333333333,1.0
hysteresis,X,60,224,1.0,0.03571428571428571,0.11755952380952375,1.0
trust,M,3,224,2.0,0.21428571428571427,0.6875,0.0
trust,M,10,224,2.0,0.0625,0.2700892857142857,2.0
trust,M,30,224,2.0,0.04017857142857143,0.15282738095238088,2.0
trust,M,60,224,2.0,0.013392857142857142,0.10357142857142854,2.0
trust,X,3,224,2.0,0.1875,0.6860119047619048,0.0
trust,X,10,224,2.0,0.044642857142857144,0.24553571428571427,2.0
trust,X,30,224,2.0,0.04017857142857143,0.15059523809523803,2.0
trust,X,60,224,2.0,0.03571428571428571,0.09732142857142854,2.0
sprt,M,3,224,0.0,0.17857142857142858,0.25744047619047616,0.0
sprt,M,10,224,0.0,0.0625,0.13035714285714287,0.0
sprt,M,30,224,0.0,0.04017857142857143,0.10863095238095237,0.0
sprt,M,60,224,0.0,0.008928571428571428,0.09233630952380951,0.0
sprt,X,3,224,0.0,0.15178571428571427,0.24851190476190474,0.0
sprt,X,10,224,0.0,0.044642857142857144,0.11383928571428571,0.0
sprt,X,30,224,0.0,0.044642857142857144,0.11473214285714285,0.0
sprt,X,60,224,0.0,0.03125,0.09166666666666665,0.0
hmm,M,3,224,1.0,0.1875,0.44345238095238093,2.0
hmm,M,10,224,1.0,0.05803571428571429,0.1866071428571429,2.0
hmm,M,30,224,1.0,0.04017857142857143,0.12306547619047616,2.0
hmm,M,60,224,1.0,0.008928571428571428,0.08087797619047614,2.0
hmm,X,3,224,1.0,0.17857142857142858,0.4419642857142857,2.0
hmm,X,10,224,1.0,0.044642857142857144,0.16785714285714287,2.0
hmm,X,30,224,1.0,0.03571428571428571,0.11889880952380949,2.0
hmm,X,60,224,1.0,0.03125,0.0887648809523809,2.0
