genuine_uuid,impostor_train,impostor_cal,impostor_test,val_hours,test_hours,val_sequences,test_sequences
00EABED2,28,14,13,7.133333333333334,6.8,32,32
098A72A5,28,14,13,22.166666666666668,22.233333333333334,32,32
0A986513,28,14,13,12.716666666666667,12.716666666666667,32,32
0BFC35E2,28,14,13,7.233333333333333,9.266666666666667,32,32
0E6184E1,28,14,13,17.916666666666668,21.316666666666666,32,32
11B5EC4D,28,14,13,28.983333333333334,29.0,32,32
136562B6,28,14,13,20.25,20.25,32,32
1538C99F,28,14,13,21.35,21.35,32,32
1DBB0F6F,28,14,13,23.833333333333332,23.716666666666665,32,32
24E40C4C,28,14,13,15.416666666666666,15.433333333333334,32,32
27E04243,28,14,13,15.1,15.783333333333333,32,32
2C32C23E,28,14,13,27.9,27.916666666666668,32,32
33A85C34,28,14,13,16.666666666666668,17.75,32,32
3600D531,28,14,13,16.95,17.2,32,32
40E170A7,28,14,13,24.116666666666667,24.833333333333332,32,32
481F4DD2,28,14,13,20.233333333333334,21.333333333333332,32,32
4E98F91F,28,14,13,8.0,5.433333333333334,32,32
4FC32141,28,14,13,15.966666666666667,16.116666666666667,32,32
5119D0F8,28,14,13,21.566666666666666,21.583333333333332,32,32
5152A2DF,28,14,13,21.566666666666666,21.583333333333332,32,32
59818CD2,28,14,13,19.316666666666666,19.183333333333334,32,32
59EEFAE0,28,14,13,23.8,21.183333333333334,32,32
5EF64122,28,14,13,12.55,12.566666666666666,32,32
61359772,28,14,13,19.016666666666666,19.466666666666665,32,32
61976C24,28,14,13,28.616666666666667,28.616666666666667,32,32
665514DE,28,14,13,29.383333333333333,28.733333333333334,32,32
74B86067,28,14,13,23.483333333333334,23.6,32,32
78A91A4E,28,14,13,39.5,39.516666666666666,32,32
797D145F,28,14,13,11.316666666666666,11.4,32,32
7CE37510,28,14,13,32.05,32.06666666666667,32,32
8023FE1A,28,14,13,30.133333333333333,30.15,32,32
806289BC,28,14,13,30.15,30.133333333333333,32,32
81536B0A,28,14,13,13.383333333333333,8.716666666666667,32,32
83CF687B,28,14,13,31.316666666666666,31.316666666666666,32,32
86A4F379,28,14,13,26.983333333333334,30.066666666666666,32,32
96A358A0,28,14,13,18.5,18.866666666666667,32,32
9759096F,28,14,13,32.71666666666667,32.56666666666667,32,32
99B204C0,28,14,13,16.866666666666667,16.6,32,32
9DC38D04,28,14,13,31.7,31.816666666666666,32,32
A5CDF89D,28,14,13,19.65,19.65,32,32
A7599A50,28,14,13,12.016666666666667,12.533333333333333,32,32
A76A5AF5,28,14,13,24.583333333333332,24.583333333333332,32,32
B09E373F,28,14,13,26.633333333333333,26.616666666666667,32,32
B7F9D634,28,14,13,29.466666666666665,28.95,32,32
B9724848,28,14,13,24.783333333333335,24.95,32,32
BE3CA5A6,28,14,13,27.2,27.216666666666665,32,32
BEF6C611,28,14,13,8.916666666666666,10.283333333333333,32,32
C48CE857,28,14,13,16.283333333333335,15.616666666666667,32,32
CA820D43,28,14,13,25.666666666666668,25.716666666666665,32,32
CCAF77F0,28,14,13,27.166666666666668,26.433333333333334,32,32
CDA3BBF7,28,14,13,9.05,8.95,32,32
CF722AA9,28,14,13,11.566666666666666,11.566666666666666,32,32
D7D20E2E,28,14,13,20.216666666666665,20.2,32,32
E65577C1,28,14,13,10.983333333333333,10.95,32,32
ECECC2AB,28,14,13,11.283333333333333,11.283333333333333,32,32
FDAA70A1,28,14,13,16.1,16.1,32,32
