target_name,target_false_locks_per_hour,mechanism,params_str,in_band,n_in_band_cells,n_excluded_absorbing,val_false_locks_per_hour,val_lockout_mean_frames,val_ania_median,val_far_frame,val_miss_rate,best_smoother
primary,0.125,threshold,theta=0.04743,True,3,0,0.1425588595291237,1.309090909090909,0.0,0.2762834821428571,0.1651785714285714,margin
primary,0.125,moving_average,"k=2, theta=0.1192",True,17,0,0.1382388940888473,2.4125,1.0,0.3025483630952381,0.1261160714285714,margin
primary,0.125,ewma,"alpha=0.7, theta=0.1301",True,18,0,0.1365109079127366,2.367088607594937,1.0,0.3055803571428571,0.1160714285714285,margin
primary,0.125,majority_vote,"k=3, theta=0.1545",True,16,0,0.1425588595291237,3.915151515151515,1.0,0.2642671130952381,0.0970982142857142,margin
primary,0.125,debounce,"T=2, theta=0.1824",True,10,6,0.1330549355605155,4.902597402597403,1.0,0.2526227678571428,0.0915178571428571,margin
primary,0.125,margin,"m=0.3, theta=0.1978",True,7,0,0.1175030599755201,3.3161764705882355,0.0,0.2063430059523809,0.1194196428571428,margin
primary,0.125,hysteresis,"m=0.3, T=2, theta=0.4013",True,34,196,0.1416948664410684,9.853658536585366,1.0,0.203031994047619,0.0613839285714285,margin
primary,0.125,trust,"r=0.5, tau=0.5, theta=0.5",True,8,148,0.1304629562963496,13.688741721854305,2.0,0.2883184523809524,0.0658482142857142,margin
primary,0.125,sprt,"alpha=0.05, beta=0.005431",True,19,0,0.1391028871769025,11.459627329192546,0.0,0.1279761904761905,0.0569196428571428,margin
primary,0.125,hmm,"rho=0.0001, theta=0.9608",True,86,0,0.1416948664410684,13.115853658536585,1.0,0.1925223214285714,0.0625,margin
sensitivity_1,0.5,threshold,theta=0.168,True,3,0,0.540859673122615,1.6741214057507987,0.0,0.1570126488095238,0.0848214285714285,margin
sensitivity_1,0.5,moving_average,"k=3, theta=0.475",True,20,2,0.5270357837137303,4.48688524590164,1.0,0.17109375,0.0323660714285714,margin
sensitivity_1,0.5,ewma,"alpha=0.7, theta=0.3318",True,14,53,0.5520915832673339,2.7136150234741785,0.0,0.1233816964285714,0.0580357142857142,margin
sensitivity_1,0.5,majority_vote,"k=3, theta=0.4502",True,24,0,0.5313557491540067,4.512195121951219,1.0,0.1787202380952381,0.0368303571428571,margin
sensitivity_1,0.5,debounce,"T=2, theta=0.5498",True,11,23,0.5477716178270573,6.048895899053628,1.0,0.1636718749999999,0.0290178571428571,margin
sensitivity_1,0.5,margin,"m=0.3, theta=0.3543",True,9,0,0.5348117215062279,3.105008077544426,0.0,0.1023809523809523,0.0591517857142857,margin
sensitivity_1,0.5,hysteresis,"m=0.2, T=2, theta=0.8699",True,30,12,0.4777881776945784,28.025316455696203,1.0,0.107328869047619,0.0111607142857142,margin
sensitivity_1,0.5,trust,"r=0.5, tau=0.5, theta=0.8176",False,0,0,0.3939808481532147,27.05043859649123,1.0,0.1164434523809524,0.015625,margin
sensitivity_1,0.5,sprt,"alpha=0.01, beta=0.4898",True,6,0,0.4682842537259701,6.546125461254612,0.0,0.0642299107142857,0.0357142857142857,margin
sensitivity_1,0.5,hmm,"rho=0.001, theta=0.995",True,30,1,0.5736914104687162,5.941265060240964,0.0,0.055078125,0.0267857142857142,margin
sensitivity_2,0.0416667,threshold,theta=0.02413,True,4,0,0.0466556267549859,1.2777777777777777,0.25,0.3568266369047619,0.2421875,margin
sensitivity_2,0.0416667,moving_average,"k=2, theta=0.05215",True,13,0,0.04406364749082,1.9803921568627447,1.0,0.3774553571428571,0.1863839285714285,margin
sensitivity_2,0.0416667,ewma,"alpha=0.7, theta=0.06914",True,14,0,0.0475196198430412,2.0545454545454547,2.0,0.4388206845238095,0.1763392857142857,margin
sensitivity_2,0.0416667,majority_vote,"k=3, theta=0.05732",True,11,0,0.04406364749082,2.803921568627451,1.0,0.348046875,0.1540178571428571,margin
sensitivity_2,0.0416667,debounce,"T=2, theta=0.07586",True,10,1,0.0449276405788753,4.057692307692308,1.0,0.3259486607142857,0.1395089285714285,margin
sensitivity_2,0.0416667,margin,"m=0.1, theta=0.07586",True,4,0,0.0457916336669306,2.2641509433962264,0.0,0.2854910714285714,0.1741071428571428,margin
sensitivity_2,0.0416667,hysteresis,"m=0.3, T=2, theta=0.2315",True,38,13,0.0414716682266541,9.125,1.0,0.2821056547619047,0.1261160714285714,margin
sensitivity_2,0.0416667,trust,"r=0.5, tau=0.5, theta=0.2891",True,19,17,0.0414716682266541,11.9375,3.0,0.4561011904761903,0.3102678571428571,margin
sensitivity_2,0.0416667,sprt,"alpha=0.01, beta=1.217e-06",True,74,0,0.0475196198430412,21.78181818181818,2.0,0.349032738095238,0.1428571428571428,margin
sensitivity_2,0.0416667,hmm,"rho=0.1, theta=0.0009111",False,0,0,0.0596155230758153,1.579710144927536,1.0,0.3753162202380952,0.1841517857142857,margin
