Mechanism,False locks / h (median [95% CI]),False locks / h (pooled),False locks (count),Transitions / h,Ping-pong events / h,Mean false-lock duration (frames)
Threshold,"0.016 [0.000, 0.076]",0.127,147,"0.031 [0.000, 0.151]","0.016 [0.000, 0.076]","1.00 [1.00, 1.11]"
Moving avg,"0.000 [0.000, 0.054]",0.105,122,"0.000 [0.000, 0.105]","0.000 [0.000, 0.053]","1.61 [1.00, 2.30]"
EWMA,"0.000 [0.000, 0.046]",0.122,142,"0.000 [0.000, 0.091]","0.000 [0.000, 0.033]","1.97 [1.25, 2.00]"
Majority vote,"0.000 [0.000, 0.041]",0.086,100,"0.000 [0.000, 0.083]","0.000 [0.000, 0.041]","3.00 [2.25, 4.38]"
Debounce,"0.000 [0.000, 0.051]",0.084,98,"0.000 [0.000, 0.102]","0.000 [0.000, 0.047]","5.00 [3.00, 5.70]"
Margin,"0.016 [0.000, 0.073]",0.101,117,"0.031 [0.000, 0.146]","0.000 [0.000, 0.066]","2.00 [1.25, 3.55]"
Hysteresis,"0.000 [0.000, 0.048]",0.059,69,"0.000 [0.000, 0.094]","0.000 [0.000, 0.000]","10.00 [6.00, 13.00]"
Trust,"0.000 [0.000, 0.034]",0.064,74,"0.000 [0.000, 0.069]","0.000 [0.000, 0.000]","10.00 [5.00, 12.20]"
SPRT,"0.000 [0.000, 0.055]",0.066,77,"0.000 [0.000, 0.099]","0.000 [0.000, 0.000]","14.20 [10.00, 19.79]"
HMM (supp.),"0.000 [0.000, 0.041]",0.165,191,"0.000 [0.000, 0.083]","0.000 [0.000, 0.017]","1.64 [1.20, 2.17]"
