family,outcome,comparison,n_users,median_a,median_b,median_diff,ci_lo,ci_hi,p_value,p_holm,rank_biserial,significant
primary,ania,hysteresis - margin (best smoother on validation),56,1.0,0.0,1.0,1.0,1.0,0.0037143176589452,0.0037143176589452,0.4207792207792207,True
primary_secondary_outcomes,first_lock,hysteresis - margin (best smoother on validation),56,1.0,0.0,1.0,1.0,1.0,6.19513582281493e-05,0.0003097567911407,0.5776942355889725,True
primary_secondary_outcomes,recovery,hysteresis - margin (best smoother on validation),56,1.0,0.0,1.0,1.0,1.0,1.1644319601355504e-13,1.0479887641219953e-12,1.0,True
primary_secondary_outcomes,miss_rate,hysteresis - margin (best smoother on validation),56,0.0625,0.125,-0.0625,-0.125,0.0,6.254345471393455e-07,4.378041829975419e-06,-0.9786096256684492,True
primary_secondary_outcomes,far_frame,hysteresis - margin (best smoother on validation),56,0.1958333333333333,0.2208333333333333,-0.0088541666666667,-0.0374999999999999,0.0458333333333333,0.6984121885930268,0.6984121885930268,-0.0595238095238095,False
primary_secondary_outcomes,frr_time,hysteresis - margin (best smoother on validation),56,0.0139379626582617,0.0029957306353818,0.0073900252171476,0.0032578802623228,0.0149253731343284,3.084981850392336e-08,2.4679854803138685e-07,0.9478260869565216,True
primary_secondary_outcomes,false_locks_per_hour,hysteresis - margin (best smoother on validation),56,0.1201871046872369,0.0729736391164526,0.0,0.0,0.0631036518102092,0.0593702951191873,0.2374811804767495,0.337979094076655,False
primary_secondary_outcomes,transitions_per_hour,hysteresis - margin (best smoother on validation),56,0.204803198280693,0.1459472782329053,0.0,0.0,0.1277474789138579,0.108115631348668,0.324346894046004,0.2846068660022148,False
primary_secondary_outcomes,pingpong_per_hour,hysteresis - margin (best smoother on validation),56,0.045654778788212,0.0648648269804038,0.0,-0.033167495854063,0.0,0.2645815400747575,0.5291630801495151,-0.2024390243902439,False
primary_secondary_outcomes,lockout_mean_frames,hysteresis - margin (best smoother on validation),31,8.0,3.0,3.2857142857142856,1.8571428571428568,5.5,4.155224904189161e-05,0.0002493134942513,0.871264367816092,True
H3_component_ablation,ania,hysteresis - margin,56,1.0,0.0,1.0,1.0,1.0,0.0037143176589452,0.0074286353178905,0.4207792207792207,True
H3_component_ablation,ania,hysteresis - debounce,56,1.0,1.0,0.0,0.0,0.0,0.0173496938008898,0.0173496938008898,-1.0,True
H4_context_matching,ania,threshold: M - X,56,0.25,0.0,0.0,0.0,0.0,0.1439311576226219,1.0,0.3152709359605911,False
H4_context_matching,ania,moving_average: M - X,56,1.0,1.0,0.0,0.0,0.0,0.4764866263034638,1.0,0.2083333333333333,False
H4_context_matching,ania,ewma: M - X,56,1.0,1.0,0.0,0.0,0.0,0.4794552806214338,1.0,0.1842105263157894,False
H4_context_matching,ania,majority_vote: M - X,56,1.0,1.0,0.0,0.0,0.0,0.7890635999892657,1.0,-0.0909090909090909,False
H4_context_matching,ania,debounce: M - X,56,1.0,1.0,0.0,0.0,0.0,0.5392328968806281,1.0,-0.2181818181818181,False
H4_context_matching,ania,margin: M - X,56,0.0,0.0,0.0,0.0,0.0,0.9544499649530456,1.0,-0.0166666666666666,False
H4_context_matching,ania,hysteresis: M - X,56,1.0,1.0,0.0,0.0,0.0,0.0796158014601134,0.7165422131410208,-0.8666666666666667,False
H4_context_matching,ania,trust: M - X,56,2.0,2.0,0.0,0.0,0.0,0.6662276454096188,1.0,0.1904761904761904,False
H4_context_matching,ania,sprt: M - X,56,0.0,0.0,0.0,0.0,0.0,0.3236323638505262,1.0,0.2679738562091503,False
