target_name,mechanism,params_str,partition,seq_id,genuine_uuid,impostor_uuid,condition,L_frames,far_auth_frames,locked_at_switch,first_lock,ania,miss,recovery,recovery_censored,locked_at_return,block_transitions,far_frame
primary,threshold,theta=0.04743,test,test-00EABED2-X-L03-00032,00EABED2-271D-49D8-B599-1D4A09240601,797D145F-3858-4A7F-A7C2-A4EB721E133C,X,3,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.04743,test,test-00EABED2-X-L03-00033,00EABED2-271D-49D8-B599-1D4A09240601,B09E373F-8A54-44C8-895B-0039390B859F,X,3,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.04743,test,test-00EABED2-X-L03-00034,00EABED2-271D-49D8-B599-1D4A09240601,CA820D43-E5E2-42EF-9798-BE56F776370B,X,3,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.04743,test,test-00EABED2-X-L03-00035,00EABED2-271D-49D8-B599-1D4A09240601,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,X,3,3,0,3,3,1,0,0,0,0,1.0
primary,threshold,theta=0.04743,test,test-00EABED2-X-L10-00036,00EABED2-271D-49D8-B599-1D4A09240601,27E04243-B138-4F40-A164-F40B60165CF3,X,10,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.04743,test,test-00EABED2-X-L10-00037,00EABED2-271D-49D8-B599-1D4A09240601,FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,X,10,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.04743,test,test-00EABED2-X-L10-00038,00EABED2-271D-49D8-B599-1D4A09240601,3600D531-0C55-44A7-AE95-A7A38519464E,X,10,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.04743,test,test-00EABED2-X-L10-00039,00EABED2-271D-49D8-B599-1D4A09240601,8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,X,10,1,0,0,0,0,2,0,1,3,0.1
primary,threshold,theta=0.04743,test,test-00EABED2-X-L30-00040,00EABED2-271D-49D8-B599-1D4A09240601,B09E373F-8A54-44C8-895B-0039390B859F,X,30,28,0,1,30,1,0,0,0,2,0.9333333333333333
primary,threshold,theta=0.04743,test,test-00EABED2-X-L30-00041,00EABED2-271D-49D8-B599-1D4A09240601,5119D0F8-FCA8-4184-A4EB-19421A40DE0D,X,30,10,0,9,12,0,0,0,1,3,0.3333333333333333
