file,participant,n_frames,median_gap_s,mean_gap_s,iqr_s,p05_gap_s,p95_gap_s,mode_gap_s,frac_gap_59_61,frac_gap_lt_30,frac_gap_gt_120,frac_contiguous,n_runs,run_len_frames_min,run_len_frames_median,run_len_frames_p90,run_len_frames_max,run_len_min_median,span_hours
,00EABED2-271D-49D8-B599-1D4A09240601,2287,60.0,293.81758530183725,"[60.0, 60.0]",59.0,62.0,60.0,0.9002624671916011,0.0013123359580052493,0.017497812773403325,0.9803149606299213,41,1,1.0,96.0,795,1.0,186.57416666666666
,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,6813,60.0,356.86934820904287,"[60.0, 60.0]",60.0,61.0,60.0,0.9751908396946565,0.0001467997651203758,0.002201996476805637,0.9975044039929536,16,4,276.0,1096.0,1999,276.0,675.2761111111112
,0A986513-7828-4D53-AA1F-E02D6DF9561B,3960,60.0,65.19575650416772,"[60.0, 60.0]",60.0,60.0,60.0,0.9952008082849204,0.00025258903763576663,0.0010103561505430665,0.9987370548118212,5,24,710.0,1431.0,1655,710.0,71.69722222222222
,0BFC35E2-4817-4865-BFA7-764742302A2D,3108,61.0,194.1747666559382,"[55.0, 77.0]",29.0,143.0,60.0,0.26939169616993885,0.05374959768265208,0.06726746057289991,0.8760862568393949,203,1,4.0,43.400000000000034,173,4.066666666666666,167.5836111111111
,0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,7521,61.0,80.06422872340426,"[58.0, 74.0]",24.0,135.0,60.0,0.3702127659574468,0.06928191489361703,0.07353723404255319,0.863031914893617,498,1,5.0,37.0,394,5.083333333333333,167.24527777777777
,1155FF54-63D3-4AB2-9863-8385D0BD0A13,2685,300.0,282.30625931445604,"[81.0, 300.0]",30.0,301.0,300.0,0.030923994038748136,0.04992548435171386,0.6564828614008942,0.9817436661698957,41,2,14.0,227.0,476,70.0,210.475
,11B5EC4D-4133-4289-B475-4E737182A406,8845,60.0,69.21257349615558,"[60.0, 60.0]",59.0,61.0,60.0,0.9479873360470376,0.0011307100859339666,0.0004522840343735866,0.9993215739484396,5,333,1098.0,3617.0,4855,1098.0,170.03222222222223
,136562B6-95B2-483D-88DC-065F28409FD2,6218,60.0,97.52356442013833,"[60.0, 60.0]",60.0,60.0,60.0,0.9806980858935178,0.0,0.0032169856844137044,0.9961396171787036,21,1,258.0,747.0,847,258.0,168.4177777777778
,1538C99F-BA1E-4EFB-A949-6C7C47701B20,6549,60.0,92.16554673182651,"[60.0, 60.0]",60.0,60.0,60.0,0.9920586438607208,0.0,0.004123396456933414,0.9958766035430666,28,1,5.5,835.1,1281,5.5,167.63888888888889
,1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,7375,60.0,90.26457824789802,"[55.0, 72.0]",30.0,96.34999999999945,60.0,0.27407106048277735,0.04909140222403038,0.023325196636832114,0.9274477895307839,173,1,16.0,118.00000000000017,343,16.0,184.89194444444445
