target_name,outcome,mechanism,avg_rank,n_users,nemenyi_cd,friedman_p
primary,ania,threshold,6.787878787878788,33,2.091186169504804,8.017122907959196e-17
primary,ania,moving_average,6.090909090909091,33,2.091186169504804,8.017122907959196e-17
primary,ania,ewma,6.090909090909091,33,2.091186169504804,8.017122907959196e-17
primary,ania,majority_vote,4.212121212121212,33,2.091186169504804,8.017122907959196e-17
primary,ania,debounce,5.121212121212121,33,2.091186169504804,8.017122907959196e-17
primary,ania,margin,4.515151515151516,33,2.091186169504804,8.017122907959196e-17
primary,ania,hysteresis,3.227272727272727,33,2.091186169504804,8.017122907959196e-17
primary,ania,trust,6.5606060606060606,33,2.091186169504804,8.017122907959196e-17
primary,ania,sprt,2.393939393939394,33,2.091186169504804,8.017122907959196e-17
primary,first_lock,threshold,3.090909090909091,33,2.091186169504804,2.1115065054706903e-22
primary,first_lock,moving_average,6.636363636363637,33,2.091186169504804,2.1115065054706903e-22
primary,first_lock,ewma,5.318181818181818,33,2.091186169504804,2.1115065054706903e-22
primary,first_lock,majority_vote,4.742424242424242,33,2.091186169504804,2.1115065054706903e-22
primary,first_lock,debounce,6.393939393939394,33,2.091186169504804,2.1115065054706903e-22
primary,first_lock,margin,3.090909090909091,33,2.091186169504804,2.1115065054706903e-22
primary,first_lock,hysteresis,4.257575757575758,33,2.091186169504804,2.1115065054706903e-22
primary,first_lock,trust,7.924242424242424,33,2.091186169504804,2.1115065054706903e-22
primary,first_lock,sprt,3.5454545454545454,33,2.091186169504804,2.1115065054706903e-22
primary,recovery,threshold,2.9545454545454546,33,2.091186169504804,1.6880725203011426e-40
primary,recovery,moving_average,2.9545454545454546,33,2.091186169504804,1.6880725203011426e-40
primary,recovery,ewma,2.9545454545454546,33,2.091186169504804,1.6880725203011426e-40
primary,recovery,majority_vote,4.787878787878788,33,2.091186169504804,1.6880725203011426e-40
primary,recovery,debounce,7.590909090909091,33,2.091186169504804,1.6880725203011426e-40
primary,recovery,margin,2.9545454545454546,33,2.091186169504804,1.6880725203011426e-40
primary,recovery,hysteresis,6.409090909090909,33,2.091186169504804,1.6880725203011426e-40
primary,recovery,trust,6.318181818181818,33,2.091186169504804,1.6880725203011426e-40
primary,recovery,sprt,8.075757575757576,33,2.091186169504804,1.6880725203011426e-40
primary,miss_rate,threshold,7.757575757575758,33,2.091186169504804,2.0287491883093253e-23
primary,miss_rate,moving_average,5.03030303030303,33,2.091186169504804,2.0287491883093253e-23
primary,miss_rate,ewma,6.742424242424242,33,2.091186169504804,2.0287491883093253e-23
primary,miss_rate,majority_vote,5.045454545454546,33,2.091186169504804,2.0287491883093253e-23
primary,miss_rate,debounce,3.757575757575758,33,2.091186169504804,2.0287491883093253e-23
primary,miss_rate,margin,6.181818181818182,33,2.091186169504804,2.0287491883093253e-23
primary,miss_rate,hysteresis,3.212121212121212,33,2.091186169504804,2.0287491883093253e-23
primary,miss_rate,trust,5.015151515151516,33,2.091186169504804,2.0287491883093253e-23
primary,miss_rate,sprt,2.257575757575758,33,2.091186169504804,2.0287491883093253e-23
primary,far_frame,threshold,6.621212121212121,33,2.091186169504804,2.103155604154988e-34
primary,far_frame,moving_average,8.015151515151516,33,2.091186169504804,2.103155604154988e-34
primary,far_frame,ewma,7.257575757575758,33,2.091186169504804,2.103155604154988e-34
primary,far_frame,majority_vote,5.712121212121212,33,2.091186169504804,2.103155604154988e-34
primary,far_frame,debounce,4.984848484848484,33,2.091186169504804,2.103155604154988e-34
primary,far_frame,margin,4.303030303030303,33,2.091186169504804,2.103155604154988e-34
primary,far_frame,hysteresis,2.3333333333333335,33,2.091186169504804,2.103155604154988e-34
primary,far_frame,trust,4.712121212121212,33,2.091186169504804,2.103155604154988e-34
primary,far_frame,sprt,1.0606060606060606,33,2.091186169504804,2.103155604154988e-34
primary,frr_time,threshold,3.015151515151515,33,2.091186169504804,8.441262728356473e-25
primary,frr_time,moving_average,4.363636363636363,33,2.091186169504804,8.441262728356473e-25
primary,frr_time,ewma,2.8181818181818183,33,2.091186169504804,8.441262728356473e-25
primary,frr_time,majority_vote,4.454545454545454,33,2.091186169504804,8.441262728356473e-25
primary,frr_time,debounce,6.681818181818182,33,2.091186169504804,8.441262728356473e-25
primary,frr_time,margin,3.757575757575758,33,2.091186169504804,8.441262728356473e-25
primary,frr_time,hysteresis,6.818181818181818,33,2.091186169504804,8.441262728356473e-25
primary,frr_time,trust,5.212121212121212,33,2.091186169504804,8.441262728356473e-25
primary,frr_time,sprt,7.878787878787879,33,2.091186169504804,8.441262728356473e-25
primary,false_locks_per_hour,threshold,5.106060606060606,33,2.091186169504804,0.0018112468913910544
primary,false_locks_per_hour,moving_average,5.954545454545454,33,2.091186169504804,0.0018112468913910544
primary,false_locks_per_hour,ewma,4.803030303030303,33,2.091186169504804,0.0018112468913910544
primary,false_locks_per_hour,majority_vote,5.045454545454546,33,2.091186169504804,0.0018112468913910544
primary,false_locks_per_hour,debounce,5.742424242424242,33,2.091186169504804,0.0018112468913910544
primary,false_locks_per_hour,margin,4.545454545454546,33,2.091186169504804,0.0018112468913910544
primary,false_locks_per_hour,hysteresis,5.5606060606060606,33,2.091186169504804,0.0018112468913910544
primary,false_locks_per_hour,trust,3.515151515151515,33,2.091186169504804,0.0018112468913910544
primary,false_locks_per_hour,sprt,4.7272727272727275,33,2.091186169504804,0.0018112468913910544
primary,transitions_per_hour,threshold,5.121212121212121,33,2.091186169504804,0.0018355022221682052
primary,transitions_per_hour,moving_average,5.984848484848484,33,2.091186169504804,0.0018355022221682052
primary,transitions_per_hour,ewma,4.818181818181818,33,2.091186169504804,0.0018355022221682052
primary,transitions_per_hour,majority_vote,5.075757575757576,33,2.091186169504804,0.0018355022221682052
primary,transitions_per_hour,debounce,5.696969696969697,33,2.091186169504804,0.0018355022221682052
primary,transitions_per_hour,margin,4.575757575757576,33,2.091186169504804,0.0018355022221682052
primary,transitions_per_hour,hysteresis,5.5606060606060606,33,2.091186169504804,0.0018355022221682052
primary,transitions_per_hour,trust,3.515151515151515,33,2.091186169504804,0.0018355022221682052
primary,transitions_per_hour,sprt,4.651515151515151,33,2.091186169504804,0.0018355022221682052
primary,pingpong_per_hour,threshold,6.03030303030303,33,2.091186169504804,3.423580588203413e-12
primary,pingpong_per_hour,moving_average,6.590909090909091,33,2.091186169504804,3.423580588203413e-12
primary,pingpong_per_hour,ewma,5.681818181818182,33,2.091186169504804,3.423580588203413e-12
primary,pingpong_per_hour,majority_vote,5.878787878787879,33,2.091186169504804,3.423580588203413e-12
primary,pingpong_per_hour,debounce,4.621212121212121,33,2.091186169504804,3.423580588203413e-12
primary,pingpong_per_hour,margin,5.333333333333333,33,2.091186169504804,3.423580588203413e-12
primary,pingpong_per_hour,hysteresis,4.545454545454546,33,2.091186169504804,3.423580588203413e-12
primary,pingpong_per_hour,trust,3.5606060606060606,33,2.091186169504804,3.423580588203413e-12
primary,pingpong_per_hour,sprt,2.757575757575758,33,2.091186169504804,3.423580588203413e-12
primary,lockout_mean_frames,threshold,1.2941176470588236,17,2.9135683261800125,1.2213620357694233e-20
primary,lockout_mean_frames,moving_average,3.676470588235294,17,2.9135683261800125,1.2213620357694233e-20
primary,lockout_mean_frames,ewma,2.323529411764706,17,2.9135683261800125,1.2213620357694233e-20
primary,lockout_mean_frames,majority_vote,4.323529411764706,17,2.9135683261800125,1.2213620357694233e-20
primary,lockout_mean_frames,debounce,6.735294117647059,17,2.9135683261800125,1.2213620357694233e-20
primary,lockout_mean_frames,margin,4.0,17,2.9135683261800125,1.2213620357694233e-20
primary,lockout_mean_frames,hysteresis,7.029411764705882,17,2.9135683261800125,1.2213620357694233e-20
primary,lockout_mean_frames,trust,6.823529411764706,17,2.9135683261800125,1.2213620357694233e-20
primary,lockout_mean_frames,sprt,8.794117647058824,17,2.9135683261800125,1.2213620357694233e-20
sensitivity_1,ania,threshold,6.848484848484849,33,2.091186169504804,3.7813149626063796e-21
sensitivity_1,ania,moving_average,6.166666666666667,33,2.091186169504804,3.7813149626063796e-21
sensitivity_1,ania,ewma,6.984848484848484,33,2.091186169504804,3.7813149626063796e-21
sensitivity_1,ania,majority_vote,5.742424242424242,33,2.091186169504804,3.7813149626063796e-21
sensitivity_1,ania,debounce,5.0606060606060606,33,2.091186169504804,3.7813149626063796e-21
sensitivity_1,ania,margin,4.151515151515151,33,2.091186169504804,3.7813149626063796e-21
sensitivity_1,ania,hysteresis,3.803030303030303,33,2.091186169504804,3.7813149626063796e-21
sensitivity_1,ania,trust,4.181818181818182,33,2.091186169504804,3.7813149626063796e-21
sensitivity_1,ania,sprt,2.0606060606060606,33,2.091186169504804,3.7813149626063796e-21
sensitivity_1,first_lock,threshold,3.909090909090909,33,2.091186169504804,7.339687771167003e-15
sensitivity_1,first_lock,moving_average,6.2272727272727275,33,2.091186169504804,7.339687771167003e-15
