partition,params_str,mechanism,target_name,genuine_uuid,frames,locks,unlocks,transitions,locked_frames,pp_events,pp_locks,genuine_hours,false_locks_per_hour,frr_time,transitions_per_hour,pingpong_per_hour,pingpong_locks_per_hour,lockout_mean_frames,X_n_sequences,X_ania_median,X_ania_mean,X_first_lock_median,X_miss_rate,X_far_frame,X_fa_frames,X_impostor_frames,X_recovery_median,X_recovery_censored_rate,X_locked_at_switch_rate,X_locked_at_return_rate,M_n_sequences,M_ania_median,M_ania_mean,M_first_lock_median,M_miss_rate,M_far_frame,M_fa_frames,M_impostor_frames,M_recovery_median,M_recovery_censored_rate,M_locked_at_switch_rate,M_locked_at_return_rate
test,theta=0.05732,threshold,primary,00EABED2-271D-49D8-B599-1D4A09240601,408,17,17,34,20,24,17,6.8,2.5,0.049019607843137254,5.0,3.5294117647058822,2.5,1.1764705882352942,16,3.0,10.25,0.5,0.3125,0.48020833333333335,201,412,0.0,0.0,0.0,0.5,16,0.0,1.5,0.0,0.125,0.20833333333333331,75,412,0.0,0.0,0.0625,0.8125
test,theta=0.05732,threshold,primary,098A72A5-E3E5-4F54-A152-BBDA0DF7B694,1334,1,1,2,1,1,1,22.233333333333334,0.04497751124437781,0.0007496251874062968,0.08995502248875561,0.04497751124437781,0.04497751124437781,1.0,16,2.0,10.0,2.0,0.25,0.46979166666666666,233,412,0.0,0.0,0.0,0.5625,16,0.0,5.5,0.0,0.25,0.3645833333333333,132,412,0.0,0.0,0.0,0.6875
test,theta=0.05732,threshold,primary,0A986513-7828-4D53-AA1F-E02D6DF9561B,763,12,12,24,12,13,12,12.716666666666667,0.9436435124508519,0.015727391874180863,1.8872870249017037,1.0222804718217562,0.9436435124508519,1.0,16,3.0,6.5,1.0,0.375,0.490625,158,412,0.0,0.0,0.0,0.5625,16,2.0,6.5,0.0,0.1875,0.2864583333333333,105,412,0.0,0.0,0.0625,0.75
test,theta=0.05732,threshold,primary,11B5EC4D-4133-4289-B475-4E737182A406,1740,0,0,0,0,0,0,29.0,0.0,0.0,0.0,0.0,0.0,,16,0.5,9.8125,0.0,0.375,0.3875,174,412,0.0,0.0,0.0,0.5,16,1.5,7.5,0.5,0.1875,0.42708333333333337,206,412,0.0,0.0,0.0,0.625
test,theta=0.05732,threshold,primary,136562B6-95B2-483D-88DC-065F28409FD2,1215,0,0,0,0,0,0,20.25,0.0,0.0,0.0,0.0,0.0,,16,2.5,8.75,0.0,0.375,0.48125,218,412,0.0,0.0,0.0,0.375,16,3.0,8.0,0.0,0.375,0.44791666666666663,158,412,0.0,0.0,0.0,0.5
test,theta=0.05732,threshold,primary,1538C99F-BA1E-4EFB-A949-6C7C47701B20,1281,2,2,4,2,2,2,21.35,0.09367681498829039,0.00156128024980484,0.18735362997658078,0.09367681498829039,0.09367681498829039,1.0,16,3.0,6.0625,0.0,0.25,0.3875,151,412,0.0,0.0,0.0,0.5,16,1.0,4.75,0.0,0.1875,0.38645833333333335,167,412,0.0,0.0,0.0,0.625
test,theta=0.05732,threshold,primary,24E40C4C-A349-4F9F-93AB-01D00FB994AF,926,0,0,0,0,0,0,15.433333333333334,0.0,0.0,0.0,0.0,0.0,,16,9.5,19.0,3.0,0.6875,0.7989583333333333,310,412,0.0,0.0,0.0,0.1875,16,20.0,25.0625,10.0,0.9375,0.9552083333333333,398,412,0.0,0.0,0.0,0.0
test,theta=0.05732,threshold,primary,2C32C23E-E30C-498A-8DD2-0EFB9150A02E,1675,8,8,16,8,9,8,27.916666666666668,0.28656716417910444,0.004776119402985075,0.5731343283582089,0.32238805970149254,0.28656716417910444,1.0,16,2.5,8.25,0.0,0.3125,0.4,155,412,0.0,0.0,0.0,0.5625,16,2.0,6.9375,0.0,0.25,0.4708333333333333,155,412,0.0,0.0,0.0,0.5625
test,theta=0.05732,threshold,primary,3600D531-0C55-44A7-AE95-A7A38519464E,1032,4,4,8,4,4,4,17.2,0.23255813953488372,0.003875968992248062,0.46511627906976744,0.23255813953488372,0.23255813953488372,1.0,16,1.5,10.5625,1.5,0.5,0.503125,175,412,0.0,0.0,0.0,0.5,16,4.0,11.875,3.0,0.5,0.5822916666666667,198,412,0.0,0.0,0.0,0.4375
test,theta=0.05732,threshold,primary,4FC32141-E888-4BFF-8804-12559A491D8C,967,0,0,0,0,0,0,16.116666666666667,0.0,0.0,0.0,0.0,0.0,,16,10.0,20.75,10.0,0.875,0.8927083333333333,354,412,0.0,0.0,0.0,0.0625,16,10.0,17.1875,2.5,0.5,0.684375,319,412,0.0,0.0,0.0,0.375
