genuine_uuid,impostor_train,impostor_cal,impostor_test,val_hours,test_hours,val_sequences,test_sequences
00EABED2,16,8,8,7.133333333333334,6.8,32,32
098A72A5,16,8,8,22.166666666666668,22.233333333333334,32,32
0A986513,16,8,8,12.716666666666667,12.716666666666667,32,32
11B5EC4D,16,8,8,28.983333333333334,29.0,32,32
136562B6,16,8,8,20.25,20.25,32,32
1538C99F,16,8,8,21.35,21.35,32,32
24E40C4C,16,8,8,15.416666666666666,15.433333333333334,32,32
2C32C23E,16,8,8,27.9,27.916666666666668,32,32
3600D531,16,8,8,16.95,17.2,32,32
4FC32141,16,8,8,15.966666666666667,16.116666666666667,32,32
5119D0F8,16,8,8,21.566666666666666,21.583333333333332,32,32
5152A2DF,16,8,8,21.566666666666666,21.583333333333332,32,32
5EF64122,16,8,8,12.55,12.566666666666666,32,32
61976C24,16,8,8,28.616666666666667,28.616666666666667,32,32
78A91A4E,16,8,8,39.5,39.516666666666666,32,32
7CE37510,16,8,8,32.05,32.06666666666667,32,32
8023FE1A,16,8,8,30.133333333333333,30.15,32,32
83CF687B,16,8,8,31.316666666666666,31.316666666666666,32,32
9759096F,16,8,8,32.71666666666667,32.56666666666667,32,32
9DC38D04,16,8,8,31.7,31.816666666666666,32,32
A5CDF89D,16,8,8,19.65,19.65,32,32
A76A5AF5,16,8,8,24.583333333333332,24.583333333333332,32,32
B09E373F,16,8,8,26.633333333333333,26.616666666666667,32,32
B9724848,16,8,8,24.783333333333335,24.95,32,32
BE3CA5A6,16,8,8,27.2,27.216666666666665,32,32
C48CE857,16,8,8,16.283333333333335,15.616666666666667,32,32
CA820D43,16,8,8,25.666666666666668,25.716666666666665,32,32
CDA3BBF7,16,8,8,9.05,8.95,32,32
CF722AA9,16,8,8,11.566666666666666,11.566666666666666,32,32
D7D20E2E,16,8,8,20.216666666666665,20.2,32,32
E65577C1,16,8,8,10.983333333333333,10.95,32,32
ECECC2AB,16,8,8,11.283333333333333,11.283333333333333,32,32
FDAA70A1,16,8,8,16.1,16.1,32,32
