Mechanism,Parameters,FAR_frame M (median [95% CI]),FA frames / impostor frames (M),Missed blocks M,FRR_time (median [95% CI]),FR frames (pooled)
Threshold,theta=0.02931,"0.611 [0.547, 0.693]",8167/13596,"0.438 [0.312, 0.562]","0.0000 [0.0000, 0.0010]",97
Moving avg,"k=2, theta=0.07586","0.643 [0.564, 0.700]",7717/13596,"0.438 [0.312, 0.500]","0.0000 [0.0000, 0.0012]",126
EWMA,"alpha=0.7, theta=0.09112","0.643 [0.592, 0.701]",7541/13596,"0.375 [0.312, 0.500]","0.0005 [0.0000, 0.0013]",148
Majority vote,"k=3, theta=0.09112","0.590 [0.504, 0.660]",6892/13596,"0.312 [0.250, 0.438]","0.0000 [0.0000, 0.0021]",200
Debounce,"T=2, theta=0.09975","0.584 [0.509, 0.627]",6785/13596,"0.312 [0.250, 0.438]","0.0000 [0.0000, 0.0022]",229
Margin,"m=0.2, theta=0.1301","0.555 [0.477, 0.628]",7168/13596,"0.375 [0.250, 0.438]","0.0000 [0.0000, 0.0015]",172
Hysteresis,"m=0.3, T=2, theta=0.2689","0.492 [0.405, 0.541]",5288/13596,"0.250 [0.188, 0.375]","0.0022 [0.0000, 0.0066]",653
Trust,"r=0.5, tau=0.5, theta=0.3318","0.604 [0.560, 0.631]",5525/13596,"0.438 [0.375, 0.500]","0.0000 [0.0000, 0.0073]",809
SPRT,"alpha=0.1, beta=1.343e-05","0.445 [0.412, 0.524]",3802/13596,"0.250 [0.188, 0.312]","0.0057 [0.0006, 0.0290]",1893
HMM (supp.),"rho=0.05, theta=0.001007","0.631 [0.558, 0.691]",7740/13596,"0.375 [0.312, 0.500]","0.0000 [0.0000, 0.0008]",117
