Mechanism,Sustained detection M (frames),First lock M (frames),Recovery after return M (frames),Sustained detection X (frames),Missed blocks X
Threshold,"3.00 [2.50, 5.50]","1.50 [0.50, 3.00]","0.00 [0.00, 0.00]","3.00 [2.00, 3.00]","0.375 [0.312, 0.438]"
Moving avg,"2.50 [2.00, 3.00]","2.50 [2.00, 3.00]","0.00 [0.00, 0.00]","2.50 [2.00, 3.00]","0.312 [0.188, 0.314]"
EWMA,"3.00 [2.50, 3.51]","2.00 [1.50, 3.00]","0.00 [0.00, 0.00]","2.50 [2.00, 3.00]","0.312 [0.250, 0.375]"
Majority vote,"2.50 [1.50, 3.00]","2.50 [1.50, 3.00]","0.50 [0.00, 0.50]","2.00 [1.00, 2.50]","0.250 [0.188, 0.375]"
Debounce,"2.50 [2.00, 3.00]","2.50 [2.00, 3.00]","2.00 [2.00, 2.00]","2.00 [2.00, 2.50]","0.250 [0.188, 0.250]"
Margin,"3.00 [1.50, 3.50]","1.50 [0.50, 3.00]","0.00 [0.00, 0.00]","1.50 [1.00, 3.00]","0.250 [0.250, 0.375]"
Hysteresis,"1.50 [1.00, 3.00]","1.50 [1.00, 3.00]","1.00 [1.00, 1.00]","1.50 [1.00, 2.00]","0.188 [0.125, 0.250]"
Trust,"3.00 [3.00, 3.00]","3.00 [3.00, 3.00]","1.00 [1.00, 1.00]","3.00 [2.50, 3.00]","0.250 [0.188, 0.312]"
SPRT,"1.50 [1.00, 2.50]","1.50 [1.00, 2.50]","1.00 [1.00, 2.00]","1.50 [1.00, 2.00]","0.188 [0.125, 0.188]"
HMM (supp.),"3.00 [1.50, 3.00]","3.00 [1.50, 3.00]","1.00 [1.00, 1.00]","2.00 [1.50, 2.50]","0.250 [0.188, 0.250]"
