target_name,mechanism,params_str,partition,seq_id,genuine_uuid,impostor_uuid,condition,L_frames,far_auth_frames,locked_at_switch,first_lock,ania,miss,recovery,recovery_censored,locked_at_return,block_transitions,far_frame
primary,threshold,theta=0.05732,test,test-00EABED2-X-L03-00032,00EABED2-271D-49D8-B599-1D4A09240601,83CF687B-7CEC-434B-9FE8-00C3D5799BE6,X,3,3,0,3,3,1,1,0,0,0,1.0
primary,threshold,theta=0.05732,test,test-00EABED2-X-L03-00033,00EABED2-271D-49D8-B599-1D4A09240601,B9724848-C7E2-45F4-9B3F-A1F38D864495,X,3,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.05732,test,test-00EABED2-X-L03-00034,00EABED2-271D-49D8-B599-1D4A09240601,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,X,3,3,0,3,3,1,0,0,0,0,1.0
primary,threshold,theta=0.05732,test,test-00EABED2-X-L03-00035,00EABED2-271D-49D8-B599-1D4A09240601,5119D0F8-FCA8-4184-A4EB-19421A40DE0D,X,3,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.05732,test,test-00EABED2-X-L10-00036,00EABED2-271D-49D8-B599-1D4A09240601,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,X,10,7,0,3,9,0,0,0,1,3,0.7
primary,threshold,theta=0.05732,test,test-00EABED2-X-L10-00037,00EABED2-271D-49D8-B599-1D4A09240601,83CF687B-7CEC-434B-9FE8-00C3D5799BE6,X,10,7,0,0,10,1,0,0,0,4,0.7
primary,threshold,theta=0.05732,test,test-00EABED2-X-L10-00038,00EABED2-271D-49D8-B599-1D4A09240601,8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,X,10,2,0,0,0,0,0,0,1,5,0.2
primary,threshold,theta=0.05732,test,test-00EABED2-X-L10-00039,00EABED2-271D-49D8-B599-1D4A09240601,7CE37510-56D0-4120-A1CF-0E23351428D2,X,10,4,0,4,4,0,0,0,1,1,0.4
primary,threshold,theta=0.05732,test,test-00EABED2-X-L30-00040,00EABED2-271D-49D8-B599-1D4A09240601,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,X,30,19,0,1,1,0,0,0,0,12,0.6333333333333333
primary,threshold,theta=0.05732,test,test-00EABED2-X-L30-00041,00EABED2-271D-49D8-B599-1D4A09240601,83CF687B-7CEC-434B-9FE8-00C3D5799BE6,X,30,17,0,0,2,0,1,0,0,14,0.5666666666666667
primary,threshold,theta=0.05732,test,test-00EABED2-X-L30-00042,00EABED2-271D-49D8-B599-1D4A09240601,8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,X,30,0,0,0,0,0,0,0,1,1,0.0
primary,threshold,theta=0.05732,test,test-00EABED2-X-L30-00043,00EABED2-271D-49D8-B599-1D4A09240601,7CE37510-56D0-4120-A1CF-0E23351428D2,X,30,10,0,0,7,0,0,0,1,9,0.3333333333333333
primary,threshold,theta=0.05732,test,test-00EABED2-X-L60-00044,00EABED2-271D-49D8-B599-1D4A09240601,136562B6-95B2-483D-88DC-065F28409FD2,X,60,5,0,2,2,0,0,0,1,7,0.08333333333333333
