target_name,partition,mechanism,params_str,n_users,genuine_hours,false_locks,false_locks_per_hour_pooled,fr_frames,frr_time_pooled,X_fa_frames,X_impostor_frames,X_far_frame_pooled,M_fa_frames,M_impostor_frames,M_far_frame_pooled,X_ania_median__median,X_ania_median__ci_lo,X_ania_median__ci_hi,X_ania_median__mean,M_ania_median__median,M_ania_median__ci_lo,M_ania_median__ci_hi,M_ania_median__mean,X_first_lock_median__median,X_first_lock_median__ci_lo,X_first_lock_median__ci_hi,X_first_lock_median__mean,M_first_lock_median__median,M_first_lock_median__ci_lo,M_first_lock_median__ci_hi,M_first_lock_median__mean,X_recovery_median__median,X_recovery_median__ci_lo,X_recovery_median__ci_hi,X_recovery_median__mean,M_recovery_median__median,M_recovery_median__ci_lo,M_recovery_median__ci_hi,M_recovery_median__mean,X_miss_rate__median,X_miss_rate__ci_lo,X_miss_rate__ci_hi,X_miss_rate__mean,M_miss_rate__median,M_miss_rate__ci_lo,M_miss_rate__ci_hi,M_miss_rate__mean,X_far_frame__median,X_far_frame__ci_lo,X_far_frame__ci_hi,X_far_frame__mean,M_far_frame__median,M_far_frame__ci_lo,M_far_frame__ci_hi,M_far_frame__mean,frr_time__median,frr_time__ci_lo,frr_time__ci_hi,frr_time__mean,false_locks_per_hour__median,false_locks_per_hour__ci_lo,false_locks_per_hour__ci_hi,false_locks_per_hour__mean,transitions_per_hour__median,transitions_per_hour__ci_lo,transitions_per_hour__ci_hi,transitions_per_hour__mean,pingpong_per_hour__median,pingpong_per_hour__ci_lo,pingpong_per_hour__ci_hi,pingpong_per_hour__mean,lockout_mean_frames__median,lockout_mean_frames__ci_lo,lockout_mean_frames__ci_hi,lockout_mean_frames__mean
primary,test,threshold,theta=0.04311,33,714.1999999999999,296,0.4144497339680762,899,0.02097918416876692,5009,13596,0.3684171815239776,4765,13596,0.35047072668431895,0.0,0.0,1.0,2.212121212121212,0.5,0.0,1.5,2.4242424242424243,0.0,0.0,0.0,1.4848484848484849,0.0,0.0,0.0,1.606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.125,0.25,0.24621212121212122,0.125,0.0625,0.25156249999997726,0.22916666666666666,0.2895833333333333,0.23229166666666667,0.38645833333333335,0.3596275252525252,0.321875,0.24791666666666665,0.3979166666666667,0.36600378787878796,0.003088803088803089,0.0010799136069114472,0.007957559681697613,0.019912419687347728,0.18532818532818535,0.06479481641468682,0.34996759559300067,0.42636011184539585,0.3706563706563707,0.12958963282937364,0.661049902786779,0.848774481590414,0.23166023166023167,0.06479481641468682,0.46567164179104475,0.6071138442648764,1.5,1.0,1.6666666666666667,2.2189373869073497
primary,test,moving_average,"k=2, theta=0.07586",33,714.1999999999999,216,0.3024362923550826,1109,0.025879772239335387,4481,13596,0.32958223006766696,4328,13596,0.31832892027066784,1.0,1.0,1.0,1.9545454545454546,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.7878787878787878,1.0,1.0,1.0,2.106060606060606,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.1875,0.0625,0.1875,0.19886363636363635,0.125,0.0625,0.1875,0.18181818181818182,0.34270833333333334,0.2947916666666667,0.40625,0.37938762626262623,0.3645833333333333,0.30104166666666665,0.43645833333333334,0.3949179292929293,0.001791044776119403,0.0,0.009266409266409266,0.02800516512742989,0.06633499170812604,0.0,0.25936599423631124,0.32828840390592384,0.13266998341625208,0.0,0.5259862241703194,0.6526310657114699,0.06633499170812604,0.0,0.277992277992278,0.40948635704086467,2.60625,1.5,3.5443548387096775,3.6265129815367003
primary,test,ewma,"alpha=0.7, theta=0.09112",33,714.1999999999999,224,0.313637636516382,1213,0.028306730140950247,4384,13596,0.32244777875845837,4171,13596,0.3067814062959694,2.0,2.0,2.0,2.590909090909091,2.0,2.0,2.0,2.893939393939394,2.0,2.0,2.0,2.409090909090909,2.0,1.5,2.0,2.621212121212121,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.1875,0.0625,0.1875,0.20265151515151514,0.125,0.125,0.1875,0.17803030303030304,0.3802083333333333,0.30104166666666665,0.46041666666666664,0.4060921717171717,0.36874999999999997,0.31875000000000003,0.47812499999999997,0.4125631313131313,0.002652519893899204,0.0,0.00980392156862745,0.031479290982147225,0.09950248756218906,0.0,0.25936599423631124,0.34260815663635,0.19900497512437812,0.0,0.5187319884726225,0.6824489132450261,0.12203389830508475,0.0,0.19438444924406048,0.46287085301532305,3.0,2.0,3.676470588235294,3.8954799716729895
primary,test,majority_vote,"k=3, theta=0.09975",33,714.1999999999999,194,0.2716325959115094,1490,0.03477083916736675,3731,13596,0.2744189467490438,3409,13596,0.2507355104442483,1.0,1.0,1.0,1.803030303030303,1.0,1.0,1.0,2.121212121212121,1.0,1.0,1.0,1.7727272727272727,1.0,1.0,1.0,2.0606060606060606,1.0,1.0,1.0,0.9242424242424242,1.0,1.0,1.0,0.8787878787878788,0.125,0.0625,0.1875,0.16098484848484848,0.0625,0.0625,0.125,0.14583333333333334,0.29791666666666666,0.23854166666666665,0.33125,0.332260101010101,0.29270833333333335,0.253125,0.3416666666666667,0.3375631313131313,0.003389830508474576,0.0005824111822947001,0.014705882352941176,0.0382823943493023,0.08135593220338984,0.034944670937682006,0.25936599423631124,0.2823874555786428,0.16271186440677968,0.06988934187536401,0.5187319884726225,0.5608291690569079,0.09355509355509355,0.03316749585406302,0.3005635566687539,0.3201483954500844,3.518181818181818,2.5,5.465178571428559,5.261525305358969
primary,test,debounce,"T=2, theta=0.1301",33,714.1999999999999,154,0.21562587510501263,1741,0.04062820871837954,3347,13596,0.2461753456899088,2969,13596,0.21837305089732273,1.0,1.0,1.0,1.696969696969697,1.0,1.0,1.0,1.8333333333333333,1.0,1.0,1.0,1.696969696969697,1.0,1.0,1.0,1.8333333333333333,1.0,1.0,1.0,0.9696969696969697,1.0,1.0,1.0,0.9545454545454546,0.0625,0.0625,0.125,0.14015151515151514,0.0625,0.0625,0.125,0.125,0.2791666666666667,0.23020833333333332,0.30140624999999466,0.30321969696969703,0.26979166666666665,0.23541666666666666,0.31666666666666665,0.30785984848484843,0.0103397341211226,0.0,0.01715686274509804,0.04508308303054777,0.07164179104477611,0.031185031185031183,0.2394055926246527,0.21954521694131354,0.14328358208955222,0.06237006237006237,0.4774535809018568,0.43393014146950276,0.050890585241730284,0.0,0.25719534598897736,0.19043607661539075,5.583333333333334,3.6666666666666665,7.923076923076923,8.998346098346097
primary,test,margin,"m=0.3, theta=0.1978",33,714.1999999999999,180,0.25203024362923554,1726,0.040278166713338934,3295,13596,0.2423506913798176,2798,13596,0.20579582230067667,0.0,0.0,0.0,1.4848484848484849,0.0,0.0,0.0,1.5454545454545454,0.0,0.0,0.0,1.4848484848484849,0.0,0.0,0.0,1.5151515151515151,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.0,0.15151515151515152,0.125,0.0625,0.12656249999997726,0.17803030303030304,0.0625,0.0,0.125,0.15151515151515152,0.17604166666666668,0.134375,0.2760416666666667,0.2607323232323232,0.18541666666666667,0.134375,0.26145833333333335,0.24564393939393936,0.007761194029850746,0.0029542097488921715,0.0228185654270137,0.0444157072615866,0.18371096142069812,0.09266409266409267,0.2544529262086514,0.2472274170395185,0.36742192284139624,0.18532818532818535,0.5187319884726225,0.49050909197865933,0.09900990099009901,0.07348438456827924,0.2404809619238477,0.23521282075012545,3.6,2.5,7.666666666666667,7.431612193362192
primary,test,hysteresis,"m=0.3, T=2, theta=0.31",33,714.1999999999999,120,0.16802016241949036,2500,0.05834033417343414,2372,13596,0.17446307737569874,2014,13596,0.14813180347160929,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.7424242424242424,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.7424242424242424,1.0,1.0,1.0,2.787878787878788,1.0,1.0,1.0,1.378787878787879,0.0625,0.0625,0.0625,0.10416666666666667,0.0625,0.0625,0.0625,0.10037878787878787,0.20625,0.18958333333333333,0.25937499999999997,0.24981060606060607,0.20208333333333334,0.17291666666666666,0.24583333333333332,0.24359217171717173,0.013293943870014771,0.0033003300330033004,0.042579837194740136,0.06257495111540964,0.10746268656716418,0.031185031185031183,0.22542266750156542,0.15891863807855977,0.19438444924406048,0.06237006237006237,0.44090630740967546,0.30615838055779776,0.04633204633204634,0.0,0.07348438456827924,0.09154397670897903,11.333333333333334,7.0,17.142857142857142,19.156090407177363
primary,test,trust,"r=0.5, tau=0.5, theta=0.4013",33,714.1999999999999,121,0.16942033043965277,2956,0.06898161112666854,2332,13596,0.1715210355987055,2063,13596,0.151735804648426,2.0,2.0,2.0,2.1666666666666665,2.0,2.0,2.0,2.272727272727273,2.0,2.0,2.0,2.1666666666666665,2.0,2.0,2.0,2.272727272727273,1.0,1.0,1.0,2.772727272727273,1.0,1.0,1.0,2.4696969696969697,0.0625,0.0625,0.125,0.11174242424242424,0.0625,0.0625,0.125,0.10606060606060606,0.3052083333333333,0.28020833333333334,0.36354166666666665,0.3262310606060606,0.2864583333333333,0.2625,0.3302083333333333,0.31369949494949495,0.016472868217054265,0.003582089552238806,0.054477144646211645,0.07323107992370054,0.11627906976744186,0.046838407494145196,0.19801980198019803,0.15870560918383558,0.1871101871101871,0.08645533141210375,0.39603960396039606,0.3051488607536676,0.03757044458359424,0.0,0.09266409266409267,0.10922067698233959,16.666666666666668,8.5,20.5,28.915031586770716
primary,test,sprt,"alpha=0.001, beta=0.02436",33,714.1999999999999,126,0.17642117054046488,4146,0.09675161019322319,1201,13596,0.08833480435422184,1101,13596,0.08097969991173874,1.0,0.0,1.0,0.8181818181818182,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.8181818181818182,1.0,0.0,1.0,0.9696969696969697,1.0,1.0,1.0,3.4696969696969697,1.0,1.0,1.0,3.257575757575758,0.0625,0.0,0.0625,0.06439393939393939,0.0625,0.0,0.0625,0.06439393939393939,0.13333333333333333,0.096875,0.16458333333333333,0.15486111111111112,0.11458333333333333,0.09583333333333334,0.14479166666666665,0.14962121212121213,0.045542635658914726,0.022546419098143235,0.07572209211553474,0.10158227292795656,0.1729106628242075,0.12652889076339097,0.20356234096692113,0.17860405712383012,0.27397260273972607,0.23169468109601687,0.40712468193384227,0.33228444521431955,0.0,0.0,0.034482758620689655,0.051371056041328134,19.0,10.0,32.833333333333336,35.24538199895343
primary,test,hmm,"rho=0.0001, theta=0.5744",33,714.1999999999999,125,0.17502100252030245,3768,0.08793055166619994,1718,13596,0.12636069432185937,1510,13596,0.11106207708149456,1.0,1.0,1.0,1.4696969696969697,1.0,1.0,1.0,1.5151515151515151,1.0,1.0,1.0,1.4696969696969697,1.0,1.0,1.0,1.5,1.0,1.0,1.0,3.712121212121212,1.0,1.0,1.0,3.3333333333333335,0.0625,0.0625,0.0625,0.0946969696969697,0.0625,0.0,0.0625,0.09090909090909091,0.20937499999999998,0.18229166666666666,0.23125,0.23642676767676765,0.18125,0.15833333333333333,0.25104166666666666,0.22664141414141414,0.03314121037463977,0.009283819628647215,0.06947697111631537,0.09207967136882078,0.14328358208955222,0.08645533141210375,0.18735362997658078,0.17140494056727726,0.25545502927088876,0.13977868375072802,0.35450516986706054,0.32564389807516825,0.0,0.0,0.08862629246676514,0.10088975437258257,23.147058823529413,12.5,29.4,34.90739379084967
