target_name,target_false_locks_per_hour,mechanism,params_str,in_band,n_in_band_cells,n_excluded_absorbing,val_false_locks_per_hour,val_lockout_mean_frames,val_ania_median,val_far_frame,val_miss_rate,best_smoother
primary,0.125,threshold,theta=0.04311,True,2,0,0.1203554684766636,1.4186046511627908,0.0,0.3532196969696969,0.2594696969696969,margin
primary,0.125,moving_average,"k=2, theta=0.07586",True,11,0,0.1189559862850745,2.152941176470588,1.0,0.3814709595959595,0.2121212121212121,margin
primary,0.125,ewma,"alpha=0.7, theta=0.09112",True,15,0,0.1287523616261983,2.3043478260869565,2.0,0.4214015151515151,0.2102272727272727,margin
primary,0.125,majority_vote,"k=3, theta=0.09975",True,11,0,0.1315513260093765,3.617021276595745,1.0,0.3439078282828283,0.1761363636363636,margin
primary,0.125,debounce,"T=2, theta=0.1301",True,14,11,0.1427471835420894,4.735294117647059,1.0,0.319854797979798,0.1609848484848484,margin
primary,0.125,margin,"m=0.3, theta=0.1978",True,2,177,0.1203554684766636,3.965116279069768,0.0,0.2400883838383838,0.1647727272727272,margin
primary,0.125,hysteresis,"m=0.3, T=2, theta=0.31",True,27,304,0.1329508082009656,10.715789473684213,1.0,0.2647727272727272,0.1193181818181818,margin
primary,0.125,trust,"r=0.5, tau=0.5, theta=0.4013",True,10,216,0.1385487369673221,15.848484848484848,2.0,0.3416351010101009,0.1193181818181818,margin
primary,0.125,sprt,"alpha=0.001, beta=0.02436",True,55,0,0.1357497725841438,26.608247422680414,1.0,0.1490530303030302,0.0662878787878787,margin
primary,0.125,hmm,"rho=0.0001, theta=0.5744",True,101,0,0.1385487369673221,22.828282828282827,1.0,0.2335542929292929,0.096590909090909,margin
sensitivity_1,0.5,threshold,theta=0.1301,True,3,0,0.5429990903365755,1.7396907216494846,0.0,0.225915404040404,0.1553030303030303,margin
sensitivity_1,0.5,moving_average,"k=10, theta=0.8699",True,22,33,0.5541949478692884,24.27777777777778,1.0,0.082260101010101,0.0,margin
sensitivity_1,0.5,ewma,"alpha=0.1, theta=0.8699",True,24,36,0.4968161780141348,28.79718309859155,1.0,0.077114898989899,0.0,margin
sensitivity_1,0.5,majority_vote,"k=3, theta=0.4256",True,43,20,0.5667902875935904,6.05679012345679,1.0,0.1834595959595959,0.034090909090909,margin
sensitivity_1,0.5,debounce,"T=2, theta=0.5498",True,18,2,0.5653908054020013,8.502475247524753,1.0,0.1581439393939394,0.0303030303030303,margin
sensitivity_1,0.5,margin,"m=0.3, theta=0.3543",True,12,1,0.549996501294521,4.526717557251908,0.0,0.1161931818181818,0.0549242424242424,margin
sensitivity_1,0.5,hysteresis,"m=0.1, T=2, theta=0.9241",True,36,5,0.512210482121615,28.688524590163933,1.0,0.0932765151515151,0.0037878787878787,margin
sensitivity_1,0.5,trust,"r=0.5, tau=0.2, theta=0.8808",False,0,0,0.3806591561122385,29.952205882352946,1.0,0.1205176767676767,0.0151515151515151,margin
sensitivity_1,0.5,sprt,"alpha=0.05, beta=0.4898",True,4,0,0.5206073752711498,9.494623655913978,0.0,0.0630681818181818,0.0246212121212121,margin
sensitivity_1,0.5,hmm,"rho=0.001, theta=0.9955",True,44,0,0.5639913232104122,10.411910669975184,0.0,0.0443497474747474,0.0227272727272727,margin
sensitivity_2,0.0416667,threshold,theta=0.02188,True,3,0,0.0475823945140298,1.3529411764705883,0.0,0.4505050505050504,0.3560606060606061,margin
sensitivity_2,0.0416667,moving_average,"k=2, theta=0.04311",True,8,0,0.0391855013644951,1.9642857142857144,1.0,0.454040404040404,0.2727272727272727,margin
sensitivity_2,0.0416667,ewma,"alpha=0.7, theta=0.05732",True,13,0,0.0447834301308515,2.3125,2.0,0.5038510101010101,0.25,margin
sensitivity_2,0.0416667,majority_vote,"k=3, theta=0.05215",True,8,0,0.0433839479392624,2.967741935483871,1.0,0.4075126262626262,0.2140151515151515,margin
sensitivity_2,0.0416667,debounce,"T=2, theta=0.05732",True,8,1,0.037786019172906,4.074074074074074,1.0,0.4015151515151515,0.2215909090909091,margin
sensitivity_2,0.0416667,margin,"m=0.05, theta=0.04743",True,3,0,0.0461829123224407,1.8484848484848484,0.0,0.3797979797979798,0.2765151515151515,margin
sensitivity_2,0.0416667,hysteresis,"m=0.3, T=2, theta=0.2142",True,21,15,0.0447834301308515,8.46875,1.0,0.3383838383838383,0.2026515151515151,margin
sensitivity_2,0.0416667,trust,"r=0.5, tau=0.5, theta=0.2497",True,9,11,0.0391855013644951,13.142857142857142,4.0,0.5267361111111112,0.3598484848484848,margin
sensitivity_2,0.0416667,sprt,"alpha=0.05, beta=7.37e-06",False,0,0,0.0825694493037576,29.91525423728813,2.0,0.3355429292929293,0.1287878787878787,margin
sensitivity_2,0.0416667,hmm,"rho=0.1, theta=0.0009111",False,0,0,0.0727730739626338,1.6346153846153846,2.0,0.4981691919191919,0.2575757575757575,margin
