Mechanism,False locks / h (median [95% CI]),False locks / h (pooled),False locks (count),Transitions / h,Ping-pong events / h,Mean false-lock duration (frames)
Threshold,"0.046 [0.000, 0.225]",0.237,169,"0.093 [0.000, 0.346]","0.046 [0.000, 0.199]","1.20 [1.00, 1.50]"
Moving avg,"0.000 [0.000, 0.156]",0.178,127,"0.000 [0.000, 0.272]","0.000 [0.000, 0.259]","2.39 [1.67, 3.70]"
EWMA,"0.000 [0.000, 0.233]",0.218,156,"0.000 [0.000, 0.405]","0.000 [0.000, 0.228]","2.55 [1.67, 3.75]"
Majority vote,"0.066 [0.000, 0.156]",0.165,118,"0.133 [0.000, 0.278]","0.066 [0.000, 0.124]","3.45 [2.50, 5.66]"
Debounce,"0.000 [0.000, 0.156]",0.161,115,"0.000 [0.000, 0.301]","0.000 [0.000, 0.086]","4.83 [3.62, 7.00]"
Margin,"0.046 [0.000, 0.166]",0.189,135,"0.093 [0.000, 0.332]","0.046 [0.000, 0.150]","1.67 [1.14, 3.45]"
Hysteresis,"0.000 [0.000, 0.128]",0.102,73,"0.000 [0.000, 0.225]","0.000 [0.000, 0.032]","12.27 [8.67, 18.00]"
Trust,"0.000 [0.000, 0.075]",0.083,59,"0.000 [0.000, 0.150]","0.000 [0.000, 0.000]","14.00 [8.00, 26.71]"
SPRT,"0.089 [0.041, 0.147]",0.106,76,"0.177 [0.058, 0.265]","0.000 [0.000, 0.031]","27.40 [19.00, 41.00]"
HMM (supp.),"0.000 [0.000, 0.233]",0.272,194,"0.000 [0.000, 0.467]","0.000 [0.000, 0.294]","2.00 [1.75, 2.91]"
