family,outcome,comparison,n_users,median_a,median_b,median_diff,ci_lo,ci_hi,p_value,p_holm,rank_biserial,significant
primary,ania,hysteresis - margin (best smoother on validation),33,1.0,0.0,1.0,1.0,1.0,0.0028768353068212,0.0028768353068212,0.6009852216748769,True
primary_secondary_outcomes,first_lock,hysteresis - margin (best smoother on validation),33,1.0,0.0,1.0,1.0,1.0,0.0023139195700739,0.0069417587102219,0.6009852216748769,True
primary_secondary_outcomes,recovery,hysteresis - margin (best smoother on validation),33,1.0,0.0,1.0,1.0,1.0,3.649469992194381e-08,3.284522992974943e-07,1.0,True
primary_secondary_outcomes,miss_rate,hysteresis - margin (best smoother on validation),33,0.0625,0.0625,0.0,0.0,0.0,0.0069437990858534,0.0138875981717069,-0.9090909090909092,True
primary_secondary_outcomes,far_frame,hysteresis - margin (best smoother on validation),33,0.2020833333333333,0.1854166666666666,0.0197916666666667,-0.0208333333333333,0.04375,0.2718049913463599,0.2718049913463599,0.2192513368983957,False
primary_secondary_outcomes,frr_time,hysteresis - margin (best smoother on validation),33,0.0132939438700147,0.0077611940298507,0.0015612802498048,0.0,0.0164487557992409,0.0006973218305002,0.0039484580612536,0.7606837606837606,True
primary_secondary_outcomes,false_locks_per_hour,hysteresis - margin (best smoother on validation),33,0.1074626865671641,0.1837109614206981,-0.034944670937682,-0.0926640926640926,0.0,0.0012642000256056,0.0050568001024226,-0.7681159420289855,True
primary_secondary_outcomes,transitions_per_hour,hysteresis - margin (best smoother on validation),33,0.1943844492440604,0.3674219228413962,-0.069889341875364,-0.2004008016032064,0.0,0.0006580763435422,0.0039484580612536,-0.8115942028985508,True
primary_secondary_outcomes,pingpong_per_hour,hysteresis - margin (best smoother on validation),33,0.0463320463320463,0.099009900990099,-0.0886262924667651,-0.1257202723939234,-0.0344827586206896,4.967669864299499e-05,0.0003477368905009,-0.9466666666666668,True
primary_secondary_outcomes,lockout_mean_frames,hysteresis - margin (best smoother on validation),22,12.666666666666668,3.85,5.597619047619049,4.0,9.476190476190474,4.005271990749781e-05,0.0003204217592599,1.0,True
H3_component_ablation,ania,hysteresis - margin,33,1.0,0.0,1.0,1.0,1.0,0.0028768353068212,0.0057536706136425,0.6009852216748769,True
H3_component_ablation,ania,hysteresis - debounce,33,1.0,1.0,0.0,0.0,0.0,0.0633177868300456,0.0633177868300456,-1.0,False
H4_context_matching,ania,threshold: M - X,33,0.5,0.0,0.0,0.0,0.0,0.2280584105119957,1.0,0.3216374269005848,False
H4_context_matching,ania,moving_average: M - X,33,1.0,1.0,0.0,0.0,0.0,0.1784490599916818,1.0,0.4358974358974359,False
H4_context_matching,ania,ewma: M - X,33,2.0,2.0,0.0,0.0,0.0,0.3168320684670066,1.0,0.2631578947368421,False
H4_context_matching,ania,majority_vote: M - X,33,1.0,1.0,0.0,0.0,0.0,0.2578726634746872,1.0,0.4222222222222222,False
H4_context_matching,ania,debounce: M - X,33,1.0,1.0,0.0,0.0,0.0,0.4950857562600694,1.0,0.2857142857142857,False
H4_context_matching,ania,margin: M - X,33,0.0,0.0,0.0,0.0,0.0,0.8932728301422118,1.0,-0.0454545454545454,False
H4_context_matching,ania,hysteresis: M - X,33,1.0,1.0,0.0,0.0,0.0,0.5176341185833455,1.0,0.2857142857142857,False
H4_context_matching,ania,trust: M - X,33,2.0,2.0,0.0,0.0,0.0,0.3804551252503885,1.0,0.3571428571428571,False
H4_context_matching,ania,sprt: M - X,33,1.0,1.0,0.0,0.0,0.0,0.4932352024443428,1.0,0.1830065359477124,False
