outcome,comparison,n_users,median_diff,ci_lo,ci_hi,p_holm,rank_biserial,significant
ania,moving_average - threshold,33,0.5,0.0,1.0,0.8242147472971508,0.2559139784946236,False
ania,ewma - threshold,33,1.0,0.0,1.0,0.087797831653887,0.513978494623656,False
ania,majority_vote - threshold,33,0.5,0.0,1.0,1.0,0.0942528735632183,False
ania,debounce - threshold,33,0.5,0.0,1.0,1.0,-0.0988505747126436,False
ania,margin - threshold,33,0.0,-1.0,0.0,0.0050186989166334,-1.0,True
ania,hysteresis - threshold,33,0.5,-0.5,1.0,1.0,-0.1080459770114942,False
ania,trust - threshold,33,1.5,0.0,2.0,0.1310034649293638,0.4637096774193548,False
ania,sprt - threshold,33,0.0,-1.0,0.0,0.2086255617139038,-0.4444444444444444,False
first_lock,moving_average - threshold,33,1.0,1.0,1.0,0.0008304476850859,0.7462365591397849,True
first_lock,ewma - threshold,33,1.5,1.0,2.0,0.0012540071406579,0.7540322580645161,True
first_lock,majority_vote - threshold,33,1.0,1.0,1.0,0.0009665584507029,0.7379310344827587,True
first_lock,debounce - threshold,33,1.0,1.0,1.0,0.0021337121789518,0.6735632183908046,True
first_lock,margin - threshold,33,0.0,0.0,0.0,0.3594249897579995,-1.0,False
first_lock,hysteresis - threshold,33,1.0,1.0,1.0,0.0055899645212009,0.6091954022988506,True
first_lock,trust - threshold,33,2.0,2.0,2.0,0.0037362174984357,0.6370967741935484,True
first_lock,sprt - threshold,33,0.0,0.0,1.0,0.3594249897579995,0.2337662337662337,False
recovery,moving_average - threshold,33,0.0,0.0,0.0,1.0,0.0,False
recovery,ewma - threshold,33,0.0,0.0,0.0,1.0,0.0,False
recovery,majority_vote - threshold,33,1.0,1.0,1.0,3.518685115278462e-07,1.0,True
recovery,debounce - threshold,33,1.0,1.0,1.0,2.919575993755505e-07,1.0,True
recovery,margin - threshold,33,0.0,0.0,0.0,0.9519315235887424,1.0,False
recovery,hysteresis - threshold,33,1.0,1.0,1.0,2.919575993755505e-07,1.0,True
recovery,trust - threshold,33,1.0,1.0,1.0,3.518685115278462e-07,1.0,True
recovery,sprt - threshold,33,1.0,1.0,1.0,3.518685115278462e-07,1.0,True
miss_rate,moving_average - threshold,33,0.0,-0.0625,0.0,0.0097887134121273,-0.6783625730994152,True
miss_rate,ewma - threshold,33,0.0,-0.0625,0.0,0.0093838440410444,-0.7941176470588235,True
miss_rate,majority_vote - threshold,33,-0.0625,-0.0625,0.0,0.0011656729989781,-0.9526315789473684,True
miss_rate,debounce - threshold,33,-0.0625,-0.125,0.0,0.0011898774424214,-0.9142857142857144,True
