mechanism,chosen_params,calib_FAR,calib_FRR,target_FAR,tolerance,feasible_interval,n_candidates,n_feasible_candidates,feasible_operating_point_exists,constraint_satisfied,nearest_candidate_direction,achievable_min_FAR,achievable_max_FAR,enrolled_user
instantaneous,{'theta': 0.9116694749812573},0.05,0.2138888888888888,0.05,0.01,"[0.04, 0.060000000000000005]",76,13,True,True,within_interval,0.0,0.9694444444444444,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
moving_average,"{'theta': 0.9011474765994403, 'w': 20}",0.0527777777777777,0.2708333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",304,28,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
ewma,"{'theta': 0.8850491556499083, 'alpha': 0.1}",0.05,0.1819444444444444,0.05,0.01,"[0.04, 0.060000000000000005]",304,2,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
majority_vote,"{'theta': 0.909840779696999, 'w': 3, 'k': 2}",0.0527777777777777,0.2027777777777777,0.05,0.01,"[0.04, 0.060000000000000005]",380,50,True,True,within_interval,0.0,0.9972222222222222,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
debounce,"{'theta': 0.9011474765994403, 'n': 5}",0.05,0.1888888888888888,0.05,0.01,"[0.04, 0.060000000000000005]",304,19,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
margin_dual_threshold,"{'theta': 0.8663113577149474, 'margin': 0.2}",0.0472222222222222,0.2541666666666666,0.05,0.01,"[0.04, 0.060000000000000005]",304,14,True,True,within_interval,0.0,0.9944444444444444,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
hysteresis,"{'theta': 0.9011474765994403, 'margin': 0.1, 'ttt_frames': 3}",0.05,0.2638888888888889,0.05,0.01,"[0.04, 0.060000000000000005]",912,10,True,True,within_interval,0.0027777777777777,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
trust_model,"{'theta': 0.9108360364907697, 'gain': 0.6, 'decay': 0.0, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.3333333333333333,0.05,0.01,"[0.04, 0.060000000000000005]",684,124,True,True,within_interval,0.0,1.0,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
sprt,"{'A': 16, 'B': 1, 'mu_gen': 0.9354700751605606, 'sd_gen': 0.054936724117615285, 'mu_imp': 0.6526158769982953, 'sd_imp': 0.2212267131273918}",0.1166666666666666,0.1194444444444444,0.05,0.01,"[0.04, 0.060000000000000005]",25,0,False,False,above_interval,0.1166666666666666,0.2944444444444444,098A72A5-E3E5-4F54-A152-BBDA0DF7B694
instantaneous,{'theta': 0.8711865258924083},0.0527777777777777,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",79,12,True,True,within_interval,0.0,0.9694444444444444,0A986513-7828-4D53-AA1F-E02D6DF9561B
moving_average,"{'theta': 0.8455332453494218, 'w': 3}",0.05,0.0138888888888888,0.05,0.01,"[0.04, 0.060000000000000005]",316,38,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
ewma,"{'theta': 0.8359783496732025, 'alpha': 0.5}",0.0444444444444444,0.0125,0.05,0.01,"[0.04, 0.060000000000000005]",316,5,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
majority_vote,"{'theta': 0.8377960030165912, 'w': 5, 'k': 4}",0.05,0.0236111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",395,34,True,True,within_interval,0.0,0.9888888888888888,0A986513-7828-4D53-AA1F-E02D6DF9561B
debounce,"{'theta': 0.9507286458333333, 'n': 10}",0.05,0.4875,0.05,0.01,"[0.04, 0.060000000000000005]",316,34,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
margin_dual_threshold,"{'theta': 0.8441231460532932, 'margin': 0.1}",0.05,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",316,7,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
hysteresis,"{'theta': 0.9476102941176471, 'margin': 0.05, 'ttt_frames': 5}",0.05,0.4569444444444444,0.05,0.01,"[0.04, 0.060000000000000005]",948,64,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
trust_model,"{'theta': 0.8858906799899446, 'gain': 0.3, 'decay': 0.05, 'tau_lo': 0.4, 'tau_hi': 0.6}",0.05,0.1722222222222222,0.05,0.01,"[0.04, 0.060000000000000005]",711,53,True,True,within_interval,0.0,1.0,0A986513-7828-4D53-AA1F-E02D6DF9561B
sprt,"{'A': 1, 'B': 16, 'mu_gen': 0.9581692254448076, 'sd_gen': 0.023032323437457924, 'mu_imp': 0.40852963870733483, 'sd_imp': 0.23713179747243304}",0.0222222222222222,0.0,0.05,0.01,"[0.04, 0.060000000000000005]",25,0,False,False,below_interval,0.0,0.0222222222222222,0A986513-7828-4D53-AA1F-E02D6DF9561B
instantaneous,{'theta': 0.8686570750608237},0.05,0.0402777777777777,0.05,0.01,"[0.04, 0.060000000000000005]",79,13,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
moving_average,"{'theta': 0.8466102484005646, 'w': 10}",0.05,0.0888888888888888,0.05,0.01,"[0.04, 0.060000000000000005]",316,26,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
ewma,"{'theta': 0.8697353798095695, 'alpha': 0.1}",0.05,0.1861111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",316,28,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
majority_vote,"{'theta': 0.8745429970264019, 'w': 5, 'k': 3}",0.05,0.0569444444444444,0.05,0.01,"[0.04, 0.060000000000000005]",395,66,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
debounce,"{'theta': 0.8561427327065748, 'n': 3}",0.05,0.0486111111111111,0.05,0.01,"[0.04, 0.060000000000000005]",316,72,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
margin_dual_threshold,"{'theta': 0.8505466614603671, 'margin': 0.05}",0.05,0.0430555555555555,0.05,0.01,"[0.04, 0.060000000000000005]",316,11,True,True,within_interval,0.0,1.0,136562B6-95B2-483D-88DC-065F28409FD2
