enrolled_user,n_mechanisms,n_feasible,eligible_complete_feasibility,infeasible_mechanisms
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,9,8,False,sprt
0A986513-7828-4D53-AA1F-E02D6DF9561B,9,8,False,sprt
136562B6-95B2-483D-88DC-065F28409FD2,9,9,True,
1538C99F-BA1E-4EFB-A949-6C7C47701B20,9,9,True,
24E40C4C-A349-4F9F-93AB-01D00FB994AF,9,9,True,
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,9,7,False,instantaneous;sprt
3600D531-0C55-44A7-AE95-A7A38519464E,9,8,False,margin_dual_threshold
4FC32141-E888-4BFF-8804-12559A491D8C,9,7,False,margin_dual_threshold;sprt
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,9,7,False,margin_dual_threshold;sprt
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,9,9,True,
5EF64122-B513-46AE-BCF1-E62AAC285D2C,9,9,True,
61976C24-1C50-4355-9C49-AAE44A7D09F6,9,8,False,sprt
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,9,8,False,sprt
7CE37510-56D0-4120-A1CF-0E23351428D2,9,8,False,sprt
7D9BB102-A612-4E2A-8E22-3159752F55D8,9,8,False,sprt
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,9,8,False,sprt
83CF687B-7CEC-434B-9FE8-00C3D5799BE6,9,8,False,sprt
9759096F-1119-4E19-A0AD-6F16989C7E1C,9,8,False,sprt
9DC38D04-E82E-4F29-AB52-B476535226F2,9,8,False,sprt
A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,9,8,False,sprt
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,9,8,False,margin_dual_threshold
B09E373F-8A54-44C8-895B-0039390B859F,9,8,False,sprt
B9724848-C7E2-45F4-9B3F-A1F38D864495,9,8,False,sprt
BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,9,8,False,sprt
CA820D43-E5E2-42EF-9798-BE56F776370B,9,7,False,margin_dual_threshold;sprt
CDA3BBF7-6631-45E8-85BA-EEB416B32A3C,9,7,False,margin_dual_threshold;sprt
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,9,9,True,
D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,9,8,False,sprt
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,9,7,False,margin_dual_threshold;sprt
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,9,8,False,sprt
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,9,7,False,margin_dual_threshold;sprt
