enrolled_user,sequence_id,impostor_user,mechanism,params,length,transition_idx,recovery_idx,FAR,FRR,false_accept_frames,false_reject_frames,n_impostor_frames,n_genuine_frames,n_transitions,transition_rate_per_100,n_flip_events,mean_run_length_frames,median_run_length_frames,frac_frames_authenticated,detection_latency_frames,lockout_frames_during_genuine,lockout_fraction_during_genuine,recovery_latency_frames
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,instantaneous,"{""theta"": 0.9159417736176783}",180,60,120,0.0,0.4333333333333333,0,52,60,120,19,10.614525139664805,17,9.0,1.0,0.3777777777777777,0.0,52,0.4333333333333333,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,moving_average,"{""theta"": 0.909840779696999, ""w"": 3}",180,60,120,0.0,0.4166666666666667,0,50,60,120,9,5.027932960893855,6,18.0,6.0,0.3888888888888889,0.0,50,0.4166666666666667,2.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,ewma,"{""theta"": 0.894862983691981, ""alpha"": 0.1}",180,60,120,0.0,0.5416666666666666,0,65,60,120,5,2.793296089385475,2,30.0,14.5,0.3055555555555556,0.0,65,0.5416666666666666,21.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,majority_vote,"{""theta"": 0.8850491556499083, ""w"": 10, ""k"": 8}",180,60,120,0.0,0.4416666666666666,0,53,60,120,5,2.793296089385475,2,30.0,12.0,0.3722222222222222,0.0,53,0.4416666666666666,7.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,debounce,"{""theta"": 0.9116663660409197, ""n"": 2}",180,60,120,0.0,0.425,0,51,60,120,6,3.35195530726257,2,25.714285714285715,8.0,0.3833333333333333,0.0,51,0.425,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,margin_dual_threshold,"{""theta"": 0.9011474765994403, ""margin"": 0.05}",180,60,120,0.0,0.3833333333333333,0,46,60,120,7,3.910614525139665,0,22.5,6.0,0.4111111111111111,0.0,46,0.3833333333333333,2.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,hysteresis,"{""theta"": 0.9362557946540577, ""margin"": 0.05, ""ttt_frames"": 5}",180,60,120,0.0,0.9666666666666668,0,116,60,120,1,0.5586592178770949,0,90.0,90.0,0.0222222222222222,0.0,116,0.9666666666666668,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,trust_model,"{""theta"": 0.9011474765994403, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",180,60,120,0.0,0.2166666666666666,0,26,60,120,2,1.11731843575419,0,60.0,60.0,0.5222222222222223,0.0,26,0.2166666666666666,26.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,sprt,"{""A"": 16, ""B"": 1, ""mu_gen"": 0.9354700751605606, ""sd_gen"": 0.054936724117615285, ""mu_imp"": 0.6526158769982953, ""sd_imp"": 0.2212267131273918}",180,60,120,0.0,0.1416666666666666,0,17,60,120,4,2.23463687150838,0,36.0,49.0,0.5722222222222222,0.0,17,0.1416666666666666,7.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,instantaneous,"{""theta"": 0.9159417736176783}",180,60,120,0.0,0.4083333333333333,0,49,60,120,21,11.731843575418994,18,8.181818181818182,2.0,0.3944444444444444,0.0,49,0.4083333333333333,13.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,moving_average,"{""theta"": 0.909840779696999, ""w"": 3}",180,60,120,0.0,0.3833333333333333,0,46,60,120,9,5.027932960893855,6,18.0,13.5,0.4111111111111111,0.0,46,0.3833333333333333,14.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,ewma,"{""theta"": 0.894862983691981, ""alpha"": 0.1}",180,60,120,0.0,0.4583333333333333,0,55,60,120,3,1.675977653631285,0,45.0,37.0,0.3611111111111111,0.0,55,0.4583333333333333,41.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,majority_vote,"{""theta"": 0.8850491556499083, ""w"": 10, ""k"": 8}",180,60,120,0.0333333333333333,0.4333333333333333,2,52,60,120,3,1.675977653631285,0,45.0,38.0,0.3888888888888889,2.0,52,0.4333333333333333,38.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,debounce,"{""theta"": 0.9116663660409197, ""n"": 2}",180,60,120,0.0166666666666666,0.3333333333333333,1,40,60,120,7,3.910614525139665,2,22.5,14.0,0.45,1.0,40,0.3333333333333333,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,margin_dual_threshold,"{""theta"": 0.9011474765994403, ""margin"": 0.05}",180,60,120,0.0,0.35,0,42,60,120,7,3.910614525139665,2,22.5,14.0,0.4333333333333333,0.0,42,0.35,0.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,hysteresis,"{""theta"": 0.9362557946540577, ""margin"": 0.05, ""ttt_frames"": 5}",180,60,120,0.0666666666666666,0.5,4,60,60,120,1,0.5586592178770949,0,90.0,90.0,0.3555555555555555,4.0,60,0.5,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,trust_model,"{""theta"": 0.9011474765994403, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",180,60,120,0.0,0.5,0,60,60,120,1,0.5586592178770949,0,90.0,90.0,0.3333333333333333,0.0,60,0.5,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,sprt,"{""A"": 16, ""B"": 1, ""mu_gen"": 0.9354700751605606, ""sd_gen"": 0.054936724117615285, ""mu_imp"": 0.6526158769982953, ""sd_imp"": 0.2212267131273918}",180,60,120,0.0,0.3,0,36,60,120,5,2.793296089385475,0,30.0,13.5,0.4666666666666667,0.0,36,0.3,19.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s2,665514DE-49DC-421F-8DCB-145D0B2609AD,instantaneous,"{""theta"": 0.9159417736176783}",180,60,120,0.0,0.3,0,36,60,120,29,16.201117318435752,24,6.0,2.0,0.4666666666666667,0.0,36,0.3,0.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s2,665514DE-49DC-421F-8DCB-145D0B2609AD,moving_average,"{""theta"": 0.909840779696999, ""w"": 3}",180,60,120,0.0,0.2166666666666666,0,26,60,120,8,4.46927374301676,4,20.0,18.0,0.5222222222222223,0.0,26,0.2166666666666666,2.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s2,665514DE-49DC-421F-8DCB-145D0B2609AD,ewma,"{""theta"": 0.894862983691981, ""alpha"": 0.1}",180,60,120,0.0,0.425,0,51,60,120,4,2.23463687150838,0,36.0,29.0,0.3833333333333333,0.0,51,0.425,25.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s2,665514DE-49DC-421F-8DCB-145D0B2609AD,majority_vote,"{""theta"": 0.8850491556499083, ""w"": 10, ""k"": 8}",180,60,120,0.0333333333333333,0.25,2,30,60,120,4,2.23463687150838,0,36.0,27.0,0.5111111111111111,2.0,30,0.25,7.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s2,665514DE-49DC-421F-8DCB-145D0B2609AD,debounce,"{""theta"": 0.9116663660409197, ""n"": 2}",180,60,120,0.0,0.2333333333333333,0,28,60,120,10,5.58659217877095,6,16.363636363636363,13.0,0.5111111111111111,0.0,28,0.2333333333333333,1.0
