target,n_users,mechanism,FAR,FRR,transition_rate_per_100,detection_latency_frames,recovery_latency_frames,infeasible
0.03,31,instantaneous,0.04243,0.05626,2.56623,0.7086,0.12222,0
0.03,31,moving_average,0.0535,0.07524,1.58407,1.1457,3.19355,0
0.03,31,ewma,0.05102,0.09121,1.524,1.53656,5.91774,0
0.03,31,majority_vote,0.05195,0.10911,1.65255,1.65591,3.70376,0
0.03,31,debounce,0.05278,0.14453,1.59188,1.74409,3.025,0
0.03,31,margin_dual_threshold,0.05461,0.14803,1.29152,1.50806,2.96429,4
0.03,31,hysteresis,0.06212,0.30902,1.08308,3.0328,13.5642,0
0.03,31,trust_model,0.04884,0.29055,0.99297,2.14946,20.53951,0
0.03,31,sprt,0.056,0.07526,1.31765,1.6172,3.18667,22
0.05 (primary),31,instantaneous,0.053,0.04705,2.68337,1.03172,0.41667,1
0.05 (primary),31,moving_average,0.05785,0.08879,1.53902,1.91989,5.20376,0
0.05 (primary),31,ewma,0.06198,0.09077,1.53001,1.72796,6.25269,0
0.05 (primary),31,majority_vote,0.07052,0.05833,1.58287,2.14032,1.80376,0
0.05 (primary),31,debounce,0.06634,0.18991,1.34108,2.42957,6.41389,0
0.05 (primary),31,margin_dual_threshold,0.05874,0.11604,1.47174,1.67043,1.51724,8
0.05 (primary),31,hysteresis,0.06768,0.35463,0.90407,2.99301,7.2373,0
0.05 (primary),31,trust_model,0.058,0.2583,0.98636,3.22742,18.13086,0
0.05 (primary),31,sprt,0.05627,0.07435,1.31765,1.62796,3.10778,23
0.07,31,instantaneous,0.06599,0.04065,2.55421,1.39731,0.02957,0
0.07,31,moving_average,0.0764,0.07809,1.48796,2.18387,4.36237,0
0.07,31,ewma,0.07333,0.07206,1.57506,1.90914,4.12366,0
0.07,31,majority_vote,0.07599,0.05004,1.58287,2.31344,1.4,0
0.07,31,debounce,0.07359,0.14045,1.46873,2.38978,2.93276,0
0.07,31,margin_dual_threshold,0.06163,0.12728,1.68679,1.53495,1.94345,10
0.07,31,hysteresis,0.09203,0.18526,1.06265,3.32634,5.25513,0
0.07,31,trust_model,0.08209,0.21999,1.0206,3.84892,14.7358,0
0.07,31,sprt,0.0559,0.07128,1.32366,1.60538,2.69889,25
