enrolled_user,sequence_id,impostor_user,mechanism,params,length,transition_idx,recovery_idx,FAR,FRR,false_accept_frames,false_reject_frames,n_impostor_frames,n_genuine_frames,n_transitions,transition_rate_per_100,n_flip_events,mean_run_length_frames,median_run_length_frames,frac_frames_authenticated,detection_latency_frames,lockout_frames_during_genuine,lockout_fraction_during_genuine,recovery_latency_frames
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,instantaneous,"{""theta"": 0.9116694749812573}",180,60,120,0.0,0.3916666666666666,0,47,60,120,17,9.497206703910615,14,10.0,1.5,0.4055555555555555,0.0,47,0.3916666666666666,0.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,moving_average,"{""theta"": 0.9011474765994403, ""w"": 20}",180,60,120,0.0,0.55,0,66,60,120,9,5.027932960893855,6,18.0,3.0,0.3,0.0,66,0.55,18.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,ewma,"{""theta"": 0.8850491556499083, ""alpha"": 0.1}",180,60,120,0.0,0.425,0,51,60,120,5,2.793296089385475,2,30.0,20.5,0.3833333333333333,0.0,51,0.425,19.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,majority_vote,"{""theta"": 0.909840779696999, ""w"": 3, ""k"": 2}",180,60,120,0.0,0.3916666666666666,0,47,60,120,9,5.027932960893855,6,18.0,4.5,0.4055555555555555,0.0,47,0.3916666666666666,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,debounce,"{""theta"": 0.9011474765994403, ""n"": 5}",180,60,120,0.0,0.3583333333333333,0,43,60,120,4,2.23463687150838,0,36.0,17.0,0.4277777777777777,0.0,43,0.3583333333333333,4.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,margin_dual_threshold,"{""theta"": 0.8663113577149474, ""margin"": 0.2}",180,60,120,0.0,0.5,0,60,60,120,1,0.5586592178770949,0,90.0,90.0,0.3333333333333333,0.0,60,0.5,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,hysteresis,"{""theta"": 0.9011474765994403, ""margin"": 0.1, ""ttt_frames"": 3}",180,60,120,0.0333333333333333,0.5,2,60,60,120,1,0.5586592178770949,0,90.0,90.0,0.3444444444444444,2.0,60,0.5,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,trust_model,"{""theta"": 0.9108360364907697, ""gain"": 0.6, ""decay"": 0.0, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",180,60,120,0.0,0.4416666666666666,0,53,60,120,2,1.11731843575419,0,60.0,50.0,0.3722222222222222,0.0,53,0.4416666666666666,43.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s0,B9724848-C7E2-45F4-9B3F-A1F38D864495,sprt,"{""A"": 16, ""B"": 1, ""mu_gen"": 0.9354700751605606, ""sd_gen"": 0.054936724117615285, ""mu_imp"": 0.6526158769982953, ""sd_imp"": 0.2212267131273918}",180,60,120,0.0,0.1416666666666666,0,17,60,120,4,2.23463687150838,0,36.0,49.0,0.5722222222222222,0.0,17,0.1416666666666666,7.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,instantaneous,"{""theta"": 0.9116694749812573}",180,60,120,0.0,0.35,0,42,60,120,15,8.379888268156424,11,11.25,3.5,0.4333333333333333,0.0,42,0.35,0.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,moving_average,"{""theta"": 0.9011474765994403, ""w"": 20}",180,60,120,0.0,0.5,0,60,60,120,1,0.5586592178770949,0,90.0,90.0,0.3333333333333333,0.0,60,0.5,
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,098A72A5_s1,00EABED2-271D-49D8-B599-1D4A09240601,ewma,"{""theta"": 0.8850491556499083, ""alpha"": 0.1}",180,60,120,0.0,0.425,0,51,60,120,3,1.675977653631285,0,45.0,36.0,0.3833333333333333,0.0,51,0.425,39.0
