,detection_latency_frames,detection_latency_frames,detection_latency_frames,detection_latency_frames,detection_latency_frames,detection_latency_frames,detection_latency_frames,detection_latency_frames,recovery_latency_frames,recovery_latency_frames,recovery_latency_frames,recovery_latency_frames,recovery_latency_frames,recovery_latency_frames,recovery_latency_frames,recovery_latency_frames,lockout_fraction_during_genuine,lockout_fraction_during_genuine,lockout_fraction_during_genuine,lockout_fraction_during_genuine,lockout_fraction_during_genuine,lockout_fraction_during_genuine,lockout_fraction_during_genuine,lockout_fraction_during_genuine
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
mechanism,,,,,,,,,,,,,,,,,,,,,,,,
debounce,179.0,3.0558659217877095,3.264932283123604,0.0,0.0,4.0,4.0,15.0,127.0,12.401574803149606,13.575923975406857,0.0,4.0,6.0,15.0,57.0,179.0,0.39641527001862187,0.31486395332562866,0.0083333333333333,0.07916666666666665,0.375,0.5958333333333333,0.9833333333333332
ewma,177.0,2.4237288135593222,7.01346932167241,0.0,0.0,1.0,2.0,55.0,172.0,12.866279069767442,10.299583940556298,0.0,4.0,11.0,19.0,49.0,179.0,0.15507448789571693,0.16757550157316686,0.0,0.0333333333333333,0.1083333333333333,0.2,1.0
hysteresis,178.0,3.342696629213483,6.179104347736374,0.0,0.0,2.0,4.0,61.0,69.0,8.434782608695652,11.174390706997597,0.0,2.0,2.0,9.0,48.0,179.0,0.4454841713221601,0.3176031120683267,0.0,0.0916666666666666,0.5,0.5375000000000001,0.9916666666666668
instantaneous,177.0,0.7401129943502824,4.747035676549362,0.0,0.0,0.0,0.0,40.0,175.0,1.2057142857142857,6.111320890065131,0.0,0.0,0.0,0.0,48.0,179.0,0.08165735567970205,0.17350300479204867,0.0,0.0,0.0,0.0583333333333333,0.9916666666666668
majority_vote,179.0,2.798882681564246,3.9906912586811463,0.0,1.0,2.0,4.0,48.0,166.0,7.614457831325301,7.7464851467303575,0.0,5.0,5.0,7.0,54.0,179.0,0.2249534450651768,0.25032827574146077,0.0083333333333333,0.0416666666666666,0.1,0.3916666666666666,0.9916666666666668
margin_dual_threshold,176.0,1.9090909090909092,8.218635776451833,0.0,0.0,0.0,0.0,55.0,134.0,1.8955223880597014,6.901311476886025,0.0,0.0,0.0,0.0,55.0,179.0,0.17090316573556796,0.25360596764494286,0.0,0.0,0.0,0.5,1.0
moving_average,176.0,2.3579545454545454,5.538668671201649,0.0,0.0,1.0,2.0,49.0,166.0,10.518072289156626,7.347415865307537,0.0,3.0,9.5,18.0,34.0,179.0,0.1704841713221601,0.20767727764951938,0.0,0.0333333333333333,0.125,0.1583333333333333,1.0
sprt,176.0,1.9034090909090908,8.118887311007041,0.0,0.0,0.0,0.0,62.0,174.0,3.1839080459770117,4.933145499910528,0.0,0.0,1.0,5.0,38.0,179.0,0.06708566108007447,0.1545534265542413,0.0,0.0,0.0083333333333333,0.05,0.9916666666666668
trust_model,179.0,3.1675977653631286,6.691841446840915,0.0,0.0,1.0,3.0,54.0,100.0,22.08,14.604330338857192,1.0,9.75,19.0,30.75,53.0,179.0,0.35330540037243946,0.19934626889092896,0.0333333333333333,0.1583333333333333,0.4166666666666667,0.5,0.875
